Z,A,element,BE_per_A_keV,BE_per_A_err_keV,n_deu,n_tri,grammar_class,source
62,149,Sm,8263.4683,0.0078,35,25,triton_bearing,AME2020
62,150,Sm,8261.6235,0.0074,34,26,triton_bearing,AME2020
62,151,Sm,8243.9735,0.0074,33,27,triton_bearing,AME2020
62,152,Sm,8244.0645,0.0067,32,28,triton_bearing,AME2020
62,154,Sm,8226.8379,0.0085,30,30,triton_bearing,AME2020
63,150,Eu,8241.3481,0.0415,36,25,EC_alt,AME2020
63,151,Eu,8239.2998,0.0077,36,25,triton_bearing,AME2020
63,152,Eu,8226.5854,0.0077,34,27,EC_alt,AME2020
63,153,Eu,8228.7011,0.0077,34,27,triton_bearing,AME2020
63,154,Eu,8217.1006,0.0077,32,29,EC_alt,AME2020
63,155,Eu,8216.6760,0.0081,32,29,triton_bearing,AME2020
64,148,Gd,8248.3398,0.0099,41,21,EC_alt,AME2020
64,150,Gd,8242.6103,0.0404,39,23,EC_alt,AME2020
64,152,Gd,8233.4042,0.0066,37,25,EC_alt,AME2020
64,154,Gd,8224.7996,0.0065,36,26,triton_bearing,AME2020
64,155,Gd,8213.2541,0.0063,35,27,triton_bearing,AME2020
64,156,Gd,8215.3253,0.0063,34,28,triton_bearing,AME2020
64,157,Gd,8203.5072,0.0062,33,29,triton_bearing,AME2020
64,158,Gd,8201.8229,0.0062,32,30,triton_bearing,AME2020
64,160,Gd,8183.0171,0.0070,30,32,triton_bearing,AME2020
65,157,Tb,8198.1416,0.0065,35,28,EC_alt,AME2020
65,158,Tb,8189.1556,0.0080,34,29,EC_alt,AME2020
65,159,Tb,8188.8025,0.0069,34,29,triton_bearing,AME2020
66,154,Dy,8193.1305,0.0483,41,23,EC_alt,AME2020
66,156,Dy,8192.4366,0.0063,39,25,EC_alt,AME2020
66,158,Dy,8190.1298,0.0148,37,27,EC_alt,AME2020
66,160,Dy,8184.0526,0.0044,36,28,triton_bearing,AME2020
66,161,Dy,8173.3093,0.0043,35,29,triton_bearing,AME2020
66,162,Dy,8173.4555,0.0043,34,30,triton_bearing,AME2020
66,163,Dy,8161.7840,0.0043,33,31,triton_bearing,AME2020
66,164,Dy,8158.7129,0.0042,32,32,triton_bearing,AME2020
67,163,Ho,8156.9670,0.0043,35,30,EC_alt,AME2020
67,165,Ho,8146.9591,0.0048,34,31,triton_bearing,AME2020
68,162,Er,8152.3959,0.0047,39,27,EC_alt,AME2020
68,164,Er,8149.0191,0.0043,37,29,EC_alt,AME2020
68,166,Er,8141.9479,0.0020,36,30,triton_bearing,AME2020
68,167,Er,8131.7352,0.0017,35,31,triton_bearing,AME2020
68,168,Er,8129.5897,0.0016,34,32,triton_bearing,AME2020
68,170,Er,8111.9529,0.0082,32,34,triton_bearing,AME2020
69,169,Tm,8114.4702,0.0044,36,31,triton_bearing,AME2020
69,171,Tm,8101.8931,0.0057,34,33,triton_bearing,AME2020
70,168,Yb,8111.8870,0.0006,39,29,EC_alt,AME2020
70,170,Yb,8106.6101,0.0003,38,30,triton_bearing,AME2020
70,171,Yb,8097.8826,0.0003,37,31,triton_bearing,AME2020
70,172,Yb,8097.4295,0.0003,36,32,triton_bearing,AME2020
70,173,Yb,8087.4276,0.0003,35,33,triton_bearing,AME2020
70,174,Yb,8083.8481,0.0003,34,34,triton_bearing,AME2020
70,176,Yb,8064.0853,0.0003,32,36,triton_bearing,AME2020
71,173,Lu,8079.0312,0.0091,37,32,EC_alt,AME2020
71,174,Lu,8071.4540,0.0090,36,33,EC_alt,AME2020
71,175,Lu,8069.1412,0.0069,36,33,triton_bearing,AME2020
71,176,Lu,8059.0209,0.0069,34,35,EC_alt,AME2020
72,172,Hf,8071.7439,0.1420,41,29,EC_alt,AME2020
72,174,Hf,8068.5341,0.0130,39,31,EC_alt,AME2020
72,176,Hf,8061.3604,0.0084,38,32,triton_bearing,AME2020
72,177,Hf,8051.8365,0.0080,37,33,triton_bearing,AME2020
72,178,Hf,8049.4438,0.0080,36,34,triton_bearing,AME2020
72,179,Hf,8038.5474,0.0079,35,35,triton_bearing,AME2020
72,180,Hf,8034.9319,0.0079,34,36,triton_bearing,AME2020
72,182,Hf,8014.8381,0.0339,32,38,triton_bearing,AME2020
73,179,Ta,8033.5869,0.0082,37,34,EC_alt,AME2020
73,181,Ta,8023.4050,0.0087,36,35,triton_bearing,AME2020
74,180,W,8025.4434,0.0080,39,33,EC_alt,AME2020
74,182,W,8018.3096,0.0041,38,34,triton_bearing,AME2020
74,183,W,8008.3234,0.0041,37,35,triton_bearing,AME2020
74,184,W,8005.0777,0.0040,36,36,triton_bearing,AME2020
74,186,W,7988.6026,0.0065,34,38,triton_bearing,AME2020
75,185,Re,7991.0101,0.0044,38,35,triton_bearing,AME2020
75,187,Re,7977.9519,0.0039,36,37,triton_bearing,AME2020
76,184,Os,7988.6778,0.0045,41,33,EC_alt,AME2020
76,186,Os,7982.8324,0.0041,40,34,triton_bearing,AME2020
76,187,Os,7973.7814,0.0039,39,35,triton_bearing,AME2020
76,188,Os,7973.8656,0.0039,38,36,triton_bearing,AME2020
76,189,Os,7963.0029,0.0035,37,37,triton_bearing,AME2020
76,190,Os,7962.1047,0.0034,36,38,triton_bearing,AME2020
76,192,Os,7948.5260,0.0121,34,40,triton_bearing,AME2020
76,194,Os,7932.0232,0.0124,32,42,triton_bearing,AME2020
77,191,Ir,7948.1144,0.0069,38,37,triton_bearing,AME2020
77,193,Ir,7938.1346,0.0069,36,39,triton_bearing,AME2020
78,190,Pt,7946.4941,0.0035,41,35,EC_alt,AME2020
78,192,Pt,7942.4923,0.0134,40,36,triton_bearing,AME2020
78,193,Pt,7933.7875,0.0070,38,38,EC_alt,AME2020
78,194,Pt,7935.9420,0.0026,38,38,triton_bearing,AME2020
78,195,Pt,7926.5530,0.0026,37,39,triton_bearing,AME2020
78,196,Pt,7926.5297,0.0026,36,40,triton_bearing,AME2020
78,198,Pt,7914.1512,0.0106,34,42,triton_bearing,AME2020
79,197,Au,7915.6548,0.0028,38,39,triton_bearing,AME2020
80,194,Hg,7914.5974,0.0149,43,35,EC_alt,AME2020
80,196,Hg,7914.3700,0.0150,41,37,EC_alt,AME2020
80,198,Hg,7911.5532,0.0023,40,38,triton_bearing,AME2020
80,199,Hg,7905.2794,0.0027,39,39,triton_bearing,AME2020
80,200,Hg,7905.8956,0.0027,38,40,triton_bearing,AME2020
80,201,Hg,7897.5607,0.0036,37,41,triton_bearing,AME2020
80,202,Hg,7896.8505,0.0035,36,42,triton_bearing,AME2020
80,204,Hg,7885.5455,0.0025,34,44,triton_bearing,AME2020
81,203,Tl,7886.0530,0.0058,38,41,triton_bearing,AME2020
81,204,Tl,7880.0238,0.0057,36,43,EC_alt,AME2020
81,205,Tl,7878.3946,0.0060,36,43,triton_bearing,AME2020
82,202,Pb,7882.1505,0.0188,41,39,EC_alt,AME2020
82,204,Pb,7879.9326,0.0056,40,40,triton_bearing,AME2020
82,205,Pb,7874.3313,0.0056,38,42,EC_alt,AME2020
82,206,Pb,7875.3620,0.0056,38,42,triton_bearing,AME2020
82,207,Pb,7869.8664,0.0055,37,43,triton_bearing,AME2020
82,208,Pb,7867.4530,0.0055,36,44,triton_bearing,AME2020
82,210,Pb,7835.9656,0.0069,34,46,triton_bearing,AME2020
83,207,Bi,7854.5053,0.0116,39,42,EC_alt,AME2020
83,208,Bi,7849.8534,0.0111,38,43,EC_alt,AME2020
83,209,Bi,7847.9869,0.0065,38,43,triton_bearing,AME2020
84,208,Po,7839.3568,0.0080,41,41,EC_alt,AME2020
84,209,Po,7835.1882,0.0085,40,42,EC_alt,AME2020
88,226,Ra,7661.9636,0.0085,36,50,triton_bearing,AME2020
88,228,Ra,7642.4289,0.0088,34,52,triton_bearing,AME2020
89,227,Ac,7650.7084,0.0085,38,49,triton_bearing,AME2020
90,228,Th,7645.0807,0.0079,40,48,triton_bearing,AME2020
90,229,Th,7634.6510,0.0105,39,49,triton_bearing,AME2020
90,230,Th,7630.9974,0.0053,38,50,triton_bearing,AME2020
90,232,Th,7615.0338,0.0061,35,53,EC_alt,AME2020
91,231,Pa,7618.4267,0.0077,40,49,triton_bearing,AME2020
92,232,U,7611.8984,0.0078,42,48,triton_bearing,AME2020
92,233,U,7603.9574,0.0097,41,49,triton_bearing,AME2020
92,234,U,7600.7160,0.0048,39,51,EC_alt,AME2020
92,235,U,7590.9151,0.0048,39,51,triton_bearing,AME2020
92,236,U,7586.4854,0.0047,38,52,triton_bearing,AME2020
92,238,U,7570.1262,0.0063,36,54,triton_bearing,AME2020
93,235,Np,7587.0571,0.0059,41,50,EC_alt,AME2020
93,236,Np,7579.2148,0.2136,40,51,EC_alt,AME2020
93,237,Np,7574.9895,0.0047,40,51,triton_bearing,AME2020
94,236,Pu,7577.9192,0.0077,43,49,EC_alt,AME2020
94,238,Pu,7568.3611,0.0048,42,50,triton_bearing,AME2020
94,239,Pu,7560.3187,0.0047,41,51,triton_bearing,AME2020
94,240,Pu,7556.0433,0.0046,40,52,triton_bearing,AME2020
94,241,Pu,7546.4395,0.0046,39,53,triton_bearing,AME2020
94,242,Pu,7541.3284,0.0052,38,54,triton_bearing,AME2020
94,244,Pu,7524.8154,0.0096,36,56,triton_bearing,AME2020
95,241,Am,7543.2795,0.0046,42,51,triton_bearing,AME2020
95,243,Am,7530.1742,0.0057,40,53,triton_bearing,AME2020
96,243,Cm,7526.9261,0.0062,42,52,EC_alt,AME2020
96,244,Cm,7523.9527,0.0045,42,52,triton_bearing,AME2020
96,245,Cm,7515.7677,0.0047,41,53,triton_bearing,AME2020
96,246,Cm,7511.4716,0.0062,40,54,triton_bearing,AME2020
96,247,Cm,7501.9318,0.0154,39,55,triton_bearing,AME2020
96,248,Cm,7496.7291,0.0095,38,56,triton_bearing,AME2020
96,250,Cm,7478.9385,0.0411,36,58,triton_bearing,AME2020
97,247,Bk,7498.9408,0.0210,42,53,triton_bearing,AME2020
97,248,Bk,7490.5975,0.2018,40,55,EC_alt,AME2020
98,249,Cf,7483.3954,0.0048,43,53,triton_bearing,AME2020
98,250,Cf,7479.9567,0.0062,42,54,triton_bearing,AME2020
98,251,Cf,7470.5014,0.0155,41,55,triton_bearing,AME2020
98,252,Cf,7465.3474,0.0094,40,56,triton_bearing,AME2020
99,252,Es,7457.2428,0.1986,42,55,EC_alt,AME2020
