API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug  8 06:03:36 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2002-Jun-06 05:00:00.0000 TDB
Stop  time      : A.D. 2002-Jun-10 08:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452432.343750000, A.D. 2002-Jun-06 20:15:00.0000, -3.695003259146781E+07, -1.472492771675806E+08,  1.202707665905356E+03,  2.841515015715946E+01, -7.370846946121818E+00, -6.844396624736682E-04,
2452432.354166667, A.D. 2002-Jun-06 20:30:00.0000, -3.692445837798790E+07, -1.472559086620960E+08,  1.202090784139931E+03,  2.841643520323336E+01, -7.365807489121850E+00, -6.864081772892661E-04,
2452432.364583333, A.D. 2002-Jun-06 20:45:00.0000, -3.689888300837293E+07, -1.472625356209830E+08,  1.201472132191062E+03,  2.841771934615931E+01, -7.360767772020397E+00, -6.883733583311624E-04,
2452432.375000000, A.D. 2002-Jun-06 21:00:00.0000, -3.687330648343580E+07, -1.472691580440077E+08,  1.200851713083684E+03,  2.841900258579172E+01, -7.355727794999550E+00, -6.903351957592285E-04,
2452432.385416667, A.D. 2002-Jun-06 21:15:00.0000, -3.684772880398954E+07, -1.472757759309361E+08,  1.200229529850185E+03,  2.842028492198498E+01, -7.350687558241605E+00, -6.922936797360002E-04,
2452432.395833333, A.D. 2002-Jun-06 21:30:00.0000, -3.682214997084730E+07, -1.472823892815346E+08,  1.199605585470796E+03,  2.842156635459341E+01, -7.345647061929085E+00, -6.942488004200165E-04,
2452432.406250000, A.D. 2002-Jun-06 21:45:00.0000, -3.679656998482240E+07, -1.472889980955697E+08,  1.198979883015156E+03,  2.842284688347140E+01, -7.340606306244717E+00, -6.962005479755895E-04,
2452432.416666667, A.D. 2002-Jun-06 22:00:00.0000, -3.677098884672821E+07, -1.472956023728081E+08,  1.198352425500751E+03,  2.842412650847324E+01, -7.335565291371454E+00, -6.981489125617024E-04,
2452432.427083333, A.D. 2002-Jun-06 22:15:00.0000, -3.674540655737834E+07, -1.473022021130165E+08,  1.197723215989769E+03,  2.842540522945323E+01, -7.330524017492457E+00, -7.000938843413351E-04,
2452432.437500000, A.D. 2002-Jun-06 22:30:00.0000, -3.671982311758645E+07, -1.473087973159620E+08,  1.197092257536948E+03,  2.842668304626565E+01, -7.325482484791112E+00, -7.020354534756912E-04,
2452432.447916667, A.D. 2002-Jun-06 22:45:00.0000, -3.669423852816636E+07, -1.473153879814115E+08,  1.196459553197026E+03,  2.842795995876477E+01, -7.320440693451017E+00, -7.039736101286387E-04,
2452432.458333333, A.D. 2002-Jun-06 23:00:00.0000, -3.666865278993201E+07, -1.473219741091326E+08,  1.195825106084347E+03,  2.842923596680481E+01, -7.315398643655993E+00, -7.059083444604930E-04,
2452432.468750000, A.D. 2002-Jun-06 23:15:00.0000, -3.664306590369750E+07, -1.473285556988927E+08,  1.195188919208944E+03,  2.843051107024000E+01, -7.310356335590078E+00, -7.078396466351222E-04,
2452432.479166667, A.D. 2002-Jun-06 23:30:00.0000, -3.661747787027701E+07, -1.473351327504593E+08,  1.194550995744765E+03,  2.843178526892453E+01, -7.305313769437533E+00, -7.097675068163944E-04,
2452432.489583333, A.D. 2002-Jun-06 23:45:00.0000, -3.659188869048489E+07, -1.473417052636002E+08,  1.193911338724196E+03,  2.843305856271258E+01, -7.300270945382834E+00, -7.116919151681778E-04,
2452432.500000000, A.D. 2002-Jun-07 00:00:00.0000, -3.656629836513563E+07, -1.473482732380836E+08,  1.193269951313734E+03,  2.843433095145832E+01, -7.295227863610688E+00, -7.136128618543403E-04,
2452432.510416667, A.D. 2002-Jun-07 00:15:00.0000, -3.654070689504383E+07, -1.473548366736776E+08,  1.192626836635172E+03,  2.843560243501584E+01, -7.290184524306151E+00, -7.155303370507404E-04,
2452432.520833333, A.D. 2002-Jun-07 00:30:00.0000, -3.651511428102420E+07, -1.473613955701502E+08,  1.191981997780502E+03,  2.843687301323931E+01, -7.285140927654284E+00, -7.174443309176937E-04,
2452432.531250000, A.D. 2002-Jun-07 00:45:00.0000, -3.648952052389164E+07, -1.473679499272701E+08,  1.191335437864065E+03,  2.843814268598285E+01, -7.280097073840453E+00, -7.193548336168476E-04,
2452432.541666667, A.D. 2002-Jun-07 01:00:00.0000, -3.646392562446114E+07, -1.473744997448060E+08,  1.190687160111964E+03,  2.843941145310054E+01, -7.275052963050257E+00, -7.212618353160671E-04,
2452432.552083333, A.D. 2002-Jun-07 01:15:00.0000, -3.643832958354779E+07, -1.473810450225266E+08,  1.190037167616189E+03,  2.844067931444644E+01, -7.270008595469514E+00, -7.231653261827731E-04,
2452432.562500000, A.D. 2002-Jun-07 01:30:00.0000, -3.641273240196689E+07, -1.473875857602009E+08,  1.189385463580489E+03,  2.844194626987462E+01, -7.264963971284270E+00, -7.250652963852744E-04,
2452432.572916667, A.D. 2002-Jun-07 01:45:00.0000, -3.638713408053383E+07, -1.473941219575980E+08,  1.188732051149011E+03,  2.844321231923912E+01, -7.259919090680797E+00, -7.269617360909919E-04,
2452432.583333333, A.D. 2002-Jun-07 02:00:00.0000, -3.636153462006413E+07, -1.474006536144872E+08,  1.188076933510602E+03,  2.844447746239395E+01, -7.254873953845596E+00, -7.288546354717873E-04,
2452432.593750000, A.D. 2002-Jun-07 02:15:00.0000, -3.633593402137344E+07, -1.474071807306381E+08,  1.187420113876462E+03,  2.844574169919313E+01, -7.249828560965395E+00, -7.307439846955255E-04,
2452432.604166667, A.D. 2002-Jun-07 02:30:00.0000, -3.631033228527753E+07, -1.474137033058202E+08,  1.186761595427990E+03,  2.844700502949063E+01, -7.244782912227150E+00, -7.326297739345122E-04,
2452432.614583333, A.D. 2002-Jun-07 02:45:00.0000, -3.628472941259234E+07, -1.474202213398034E+08,  1.186101381346583E+03,  2.844826745314043E+01, -7.239737007818047E+00, -7.345119933606092E-04,
2452432.625000000, A.D. 2002-Jun-07 03:00:00.0000, -3.625912540413392E+07, -1.474267348323576E+08,  1.185439474895597E+03,  2.844952896999650E+01, -7.234690847925498E+00, -7.363906331470105E-04,
2452432.635416667, A.D. 2002-Jun-07 03:15:00.0000, -3.623352026071844E+07, -1.474332437832531E+08,  1.184775879278779E+03,  2.845078957991278E+01, -7.229644432737155E+00, -7.382656834686863E-04,
2452432.645833333, A.D. 2002-Jun-07 03:30:00.0000, -3.620791398316220E+07, -1.474397481922601E+08,  1.184110597759485E+03,  2.845204928274319E+01, -7.224597762440893E+00, -7.401371344983865E-04,
2452432.656250000, A.D. 2002-Jun-07 03:45:00.0000, -3.618230657228167E+07, -1.474462480591490E+08,  1.183443633526564E+03,  2.845330807834164E+01, -7.219550837224823E+00, -7.420049764146341E-04,
2452432.666666667, A.D. 2002-Jun-07 04:00:00.0000, -3.615669802889340E+07, -1.474527433836906E+08,  1.182774989873171E+03,  2.845456596656205E+01, -7.214503657277284E+00, -7.438691993950641E-04,
2452432.677083333, A.D. 2002-Jun-07 04:15:00.0000, -3.613108835381412E+07, -1.474592341656557E+08,  1.182104670062661E+03,  2.845582294725829E+01, -7.209456222786859E+00, -7.457297936159790E-04,
2452432.687500000, A.D. 2002-Jun-07 04:30:00.0000, -3.610547754786064E+07, -1.474657204048153E+08,  1.181432677336037E+03,  2.845707902028424E+01, -7.204408533942351E+00, -7.475867492594546E-04,
2452432.697916667, A.D. 2002-Jun-07 04:45:00.0000, -3.607986561184994E+07, -1.474722021009406E+08,  1.180759015008807E+03,  2.845833418549376E+01, -7.199360590932811E+00, -7.494400565040138E-04,
2452432.708333333, A.D. 2002-Jun-07 05:00:00.0000, -3.605425254659913E+07, -1.474786792538028E+08,  1.180083686344326E+03,  2.845958844274069E+01, -7.194312393947520E+00, -7.512897055339529E-04,
2452432.718750000, A.D. 2002-Jun-07 05:15:00.0000, -3.602863835292545E+07, -1.474851518631735E+08,  1.179406694628298E+03,  2.846084179187888E+01, -7.189263943175991E+00, -7.531356865331240E-04,
2452432.729166667, A.D. 2002-Jun-07 05:30:00.0000, -3.600302303164623E+07, -1.474916199288245E+08,  1.178728043198586E+03,  2.846209423276214E+01, -7.184215238807982E+00, -7.549779896853792E-04,
2452432.739583333, A.D. 2002-Jun-07 05:45:00.0000, -3.597740658357899E+07, -1.474980834505274E+08,  1.178047735348344E+03,  2.846334576524428E+01, -7.179166281033488E+00, -7.568166051772351E-04,
2452432.750000000, A.D. 2002-Jun-07 06:00:00.0000, -3.595178900954136E+07, -1.475045424280544E+08,  1.177365774422884E+03,  2.846459638917911E+01, -7.174117070042735E+00, -7.586515231969848E-04,
2452432.760416667, A.D. 2002-Jun-07 06:15:00.0000, -3.592617031035107E+07, -1.475109968611776E+08,  1.176682163737714E+03,  2.846584610442043E+01, -7.169067606026193E+00, -7.604827339360298E-04,
2452432.770833333, A.D. 2002-Jun-07 06:30:00.0000, -3.590055048682605E+07, -1.475174467496693E+08,  1.175996906608343E+03,  2.846709491082199E+01, -7.164017889174577E+00, -7.623102275817750E-04,
2452432.781250000, A.D. 2002-Jun-07 06:45:00.0000, -3.587492953978429E+07, -1.475238920933022E+08,  1.175310006432235E+03,  2.846834280823758E+01, -7.158967919678833E+00, -7.641339943309511E-04,
2452432.791666667, A.D. 2002-Jun-07 07:00:00.0000, -3.584930747004396E+07, -1.475303328918490E+08,  1.174621466547251E+03,  2.846958979652095E+01, -7.153917697730156E+00, -7.659540243749596E-04,
2452432.802083333, A.D. 2002-Jun-07 07:15:00.0000, -3.582368427842335E+07, -1.475367691450825E+08,  1.173931290321052E+03,  2.847083587552586E+01, -7.148867223519978E+00, -7.677703079118636E-04,
2452432.812500000, A.D. 2002-Jun-07 07:30:00.0000, -3.579805996574084E+07, -1.475432008527757E+08,  1.173239481121302E+03,  2.847208104510604E+01, -7.143816497239973E+00, -7.695828351388379E-04,
2452432.822916667, A.D. 2002-Jun-07 07:45:00.0000, -3.577243453281502E+07, -1.475496280147020E+08,  1.172546042345464E+03,  2.847332530511522E+01, -7.138765519082066E+00, -7.713915962557216E-04,
2452432.833333333, A.D. 2002-Jun-07 08:00:00.0000, -3.574680798046456E+07, -1.475560506306346E+08,  1.171850977383554E+03,  2.847456865540713E+01, -7.133714289238422E+00, -7.731965814636865E-04,
2452432.843750000, A.D. 2002-Jun-07 08:15:00.0000, -3.572118030950825E+07, -1.475624687003472E+08,  1.171154289625585E+03,  2.847581109583550E+01, -7.128662807901448E+00, -7.749977809670128E-04,
2452432.854166667, A.D. 2002-Jun-07 08:30:00.0000, -3.569555152076504E+07, -1.475688822236134E+08,  1.170455982506275E+03,  2.847705262625400E+01, -7.123611075263795E+00, -7.767951849730892E-04,
2452432.864583333, A.D. 2002-Jun-07 08:45:00.0000, -3.566992161505404E+07, -1.475752912002073E+08,  1.169756059437990E+03,  2.847829324651637E+01, -7.118559091518367E+00, -7.785887836866401E-04,
2452432.875000000, A.D. 2002-Jun-07 09:00:00.0000, -3.564429059319441E+07, -1.475816956299029E+08,  1.169054523855448E+03,  2.847953295647629E+01, -7.113506856858315E+00, -7.803785673181629E-04,
