tdb,r_m,r_rsun,speed_km_s,z_depth,c_far_m_s,dc_over_c,z_earth,z_spec,rr_geom_km_s,f_doppler_1way_frac
2024-Dec-24 10:26:00.0000,6.888404e+09,9.901400,190.389762,2.143639e-07,299792329.470660,4.287277e-07,1.003550e-08,2.043284e-07,145.739782,4.861356e-04
2024-Dec-24 10:27:00.0000,6.887731e+09,9.900432,190.399648,2.143848e-07,299792329.458102,4.287696e-07,1.003550e-08,2.043493e-07,145.857052,4.865268e-04
2024-Dec-24 10:28:00.0000,6.887067e+09,9.899478,190.409407,2.144055e-07,299792329.445705,4.288110e-07,1.003550e-08,2.043700e-07,145.974125,4.869173e-04
2024-Dec-24 10:29:00.0000,6.886411e+09,9.898536,190.419038,2.144259e-07,299792329.433471,4.288518e-07,1.003550e-08,2.043904e-07,146.091001,4.873071e-04
2024-Dec-24 10:30:00.0000,6.885765e+09,9.897606,190.428541,2.144460e-07,299792329.421399,4.288920e-07,1.003550e-08,2.044105e-07,146.207680,4.876963e-04
2024-Dec-24 10:31:00.0000,6.885127e+09,9.896690,190.437915,2.144659e-07,299792329.409490,4.289318e-07,1.003550e-08,2.044304e-07,146.324159,4.880849e-04
2024-Dec-24 10:32:00.0000,6.884498e+09,9.895786,190.447160,2.144855e-07,299792329.397744,4.289710e-07,1.003550e-08,2.044500e-07,146.440440,4.884727e-04
2024-Dec-24 10:33:00.0000,6.883878e+09,9.894894,190.456277,2.145048e-07,299792329.386160,4.290096e-07,1.003550e-08,2.044693e-07,146.556520,4.888599e-04
2024-Dec-24 10:34:00.0000,6.883267e+09,9.894016,190.465265,2.145239e-07,299792329.374739,4.290477e-07,1.003550e-08,2.044884e-07,146.672400,4.892465e-04
2024-Dec-24 10:35:00.0000,6.882664e+09,9.893150,190.474125,2.145426e-07,299792329.363482,4.290852e-07,1.003550e-08,2.045071e-07,146.788078,4.896323e-04
2024-Dec-24 10:36:00.0000,6.882071e+09,9.892297,190.482856,2.145611e-07,299792329.352387,4.291222e-07,1.003550e-08,2.045256e-07,146.903554,4.900175e-04
2024-Dec-24 10:37:00.0000,6.881486e+09,9.891456,190.491457,2.145794e-07,299792329.341456,4.291587e-07,1.003550e-08,2.045439e-07,147.018827,4.904020e-04
2024-Dec-24 10:38:00.0000,6.880910e+09,9.890628,190.499930,2.145973e-07,299792329.330689,4.291946e-07,1.003550e-08,2.045618e-07,147.133896,4.907858e-04
2024-Dec-24 10:39:00.0000,6.880343e+09,9.889813,190.508273,2.146150e-07,299792329.320085,4.292300e-07,1.003550e-08,2.045795e-07,147.248761,4.911690e-04
2024-Dec-24 10:40:00.0000,6.879785e+09,9.889011,190.516487,2.146324e-07,299792329.309645,4.292648e-07,1.003550e-08,2.045969e-07,147.363421,4.915515e-04
2024-Dec-24 10:41:00.0000,6.879236e+09,9.888222,190.524572,2.146496e-07,299792329.299369,4.292991e-07,1.003550e-08,2.046141e-07,147.477875,4.919332e-04
2024-Dec-24 10:42:00.0000,6.878695e+09,9.887445,190.532528,2.146664e-07,299792329.289257,4.293328e-07,1.003550e-08,2.046309e-07,147.592123,4.923143e-04
2024-Dec-24 10:43:00.0000,6.878164e+09,9.886681,190.540353,2.146830e-07,299792329.279309,4.293660e-07,1.003550e-08,2.046475e-07,147.706164,4.926947e-04
2024-Dec-24 10:44:00.0000,6.877641e+09,9.885929,190.548050,2.146993e-07,299792329.269526,4.293986e-07,1.003550e-08,2.046638e-07,147.819997,4.930744e-04
2024-Dec-24 10:45:00.0000,6.877127e+09,9.885191,190.555616,2.147154e-07,299792329.259907,4.294307e-07,1.003550e-08,2.046799e-07,147.933621,4.934534e-04
2024-Dec-24 10:46:00.0000,6.876622e+09,9.884465,190.563053,2.147312e-07,299792329.250453,4.294623e-07,1.003550e-08,2.046957e-07,148.047036,4.938318e-04
2024-Dec-24 10:47:00.0000,6.876126e+09,9.883752,190.570360,2.147466e-07,299792329.241163,4.294932e-07,1.003550e-08,2.047111e-07,148.160242,4.942094e-04
2024-Dec-24 10:48:00.0000,6.875639e+09,9.883051,190.577536,2.147619e-07,299792329.232039,4.295237e-07,1.003550e-08,2.047264e-07,148.273237,4.945863e-04
2024-Dec-24 10:49:00.0000,6.875160e+09,9.882364,190.584583,2.147768e-07,299792329.223079,4.295536e-07,1.003550e-08,2.047413e-07,148.386020,4.949625e-04
2024-Dec-24 10:50:00.0000,6.874691e+09,9.881689,190.591500,2.147915e-07,299792329.214285,4.295829e-07,1.003550e-08,2.047560e-07,148.498592,4.953380e-04
2024-Dec-24 10:51:00.0000,6.874230e+09,9.881027,190.598287,2.148059e-07,299792329.205655,4.296117e-07,1.003550e-08,2.047704e-07,148.610951,4.957128e-04
2024-Dec-24 10:52:00.0000,6.873779e+09,9.880377,190.604943,2.148200e-07,299792329.197191,4.296399e-07,1.003550e-08,2.047845e-07,148.723097,4.960869e-04
2024-Dec-24 10:53:00.0000,6.873336e+09,9.879741,190.611469,2.148338e-07,299792329.188893,4.296676e-07,1.003550e-08,2.047983e-07,148.835028,4.964602e-04
2024-Dec-24 10:54:00.0000,6.872902e+09,9.879117,190.617865,2.148474e-07,299792329.180759,4.296947e-07,1.003551e-08,2.048119e-07,148.946746,4.968329e-04
2024-Dec-24 10:55:00.0000,6.872477e+09,9.878506,190.624130,2.148607e-07,299792329.172792,4.297213e-07,1.003551e-08,2.048252e-07,149.058248,4.972048e-04
2024-Dec-24 10:56:00.0000,6.872061e+09,9.877908,190.630265,2.148737e-07,299792329.164990,4.297473e-07,1.003551e-08,2.048382e-07,149.169534,4.975760e-04
2024-Dec-24 10:57:00.0000,6.871653e+09,9.877322,190.636269,2.148864e-07,299792329.157355,4.297728e-07,1.003551e-08,2.048509e-07,149.280603,4.979465e-04
2024-Dec-24 10:58:00.0000,6.871255e+09,9.876750,190.642142,2.148989e-07,299792329.149885,4.297977e-07,1.003551e-08,2.048634e-07,149.391455,4.983163e-04
2024-Dec-24 10:59:00.0000,6.870865e+09,9.876190,190.647885,2.149111e-07,299792329.142581,4.298221e-07,1.003551e-08,2.048756e-07,149.502089,4.986853e-04
2024-Dec-24 11:00:00.0000,6.870485e+09,9.875643,190.653497,2.149230e-07,299792329.135443,4.298459e-07,1.003551e-08,2.048875e-07,149.612505,4.990536e-04
2024-Dec-24 11:01:00.0000,6.870113e+09,9.875109,190.658978,2.149346e-07,299792329.128471,4.298691e-07,1.003551e-08,2.048991e-07,149.722702,4.994212e-04
2024-Dec-24 11:02:00.0000,6.869750e+09,9.874587,190.664328,2.149459e-07,299792329.121666,4.298918e-07,1.003551e-08,2.049104e-07,149.832678,4.997880e-04
2024-Dec-24 11:03:00.0000,6.869397e+09,9.874079,190.669547,2.149570e-07,299792329.115028,4.299140e-07,1.003551e-08,2.049215e-07,149.942434,5.001541e-04
2024-Dec-24 11:04:00.0000,6.869052e+09,9.873583,190.674635,2.149678e-07,299792329.108555,4.299356e-07,1.003551e-08,2.049323e-07,150.051969,5.005195e-04
2024-Dec-24 11:05:00.0000,6.868716e+09,9.873100,190.679592,2.149783e-07,299792329.102250,4.299566e-07,1.003551e-08,2.049428e-07,150.161282,5.008841e-04
2024-Dec-24 11:06:00.0000,6.868388e+09,9.872630,190.684418,2.149886e-07,299792329.096111,4.299771e-07,1.003551e-08,2.049531e-07,150.270373,5.012480e-04
2024-Dec-24 11:07:00.0000,6.868070e+09,9.872172,190.689112,2.149985e-07,299792329.090139,4.299970e-07,1.003551e-08,2.049630e-07,150.379241,5.016112e-04
2024-Dec-24 11:08:00.0000,6.867761e+09,9.871728,190.693676,2.150082e-07,299792329.084333,4.300164e-07,1.003551e-08,2.049727e-07,150.487885,5.019736e-04
