Z,symbol,step,energy_eV,status,split,source
20,Ca,5,84.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,6,108.78,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,7,127.2,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,8,147.24,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,9,188.54,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,10,211.275,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,11,591.9,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,12,657.2,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,13,726.6,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,14,817.6,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,15,894.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,16,974.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,17,1087.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,18,1157.8,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,19,5128.8,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
20,Ca,20,5469.864,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,1,6.5615,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,2,12.79967,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,3,24.75666,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,4,73.4894,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,5,91.65,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,6,110.68,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,7,138.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,8,158.1,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,9,180.03,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,10,225.18,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,11,249.798,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,12,687.36,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,13,756.7,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,14,830.8,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,15,927.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,16,1009.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,17,1094.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,18,1213.0,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,19,1287.97,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,20,5674.8,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
21,Sc,21,6033.712,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,1,6.8281,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,2,13.5755,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,3,27.4917,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,4,43.2672,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,5,99.3,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,6,119.53,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,7,140.8,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,8,170.4,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,9,192.1,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,10,215.92,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,11,265.07,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
22,Ti,12,291.5,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json
