Z,symbol,step,energy_eV,status,split,source,pred_eV,rel,r_outer_m,z_outer,koppa_outer_m,q_outer,force_residual,relaxation_eV,physical,converged,tag
13,Al,1,5.98577,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,255.47953237847932,41.68114751794328,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098994826974301e-10,0.0,True,True,COMPUTED
13,Al,2,18.82856,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,255.47953237847932,12.568723916140126,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098994826974301e-10,0.0,True,True,COMPUTED
13,Al,3,28.44765,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,255.47953237847932,7.980690228489148,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098994826974301e-10,0.0,True,True,COMPUTED
13,Al,4,119.992,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,574.8289478515783,3.790560602803339,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098992136194469e-10,0.0,True,True,COMPUTED
13,Al,5,153.825,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,574.8289478515783,2.7369019850582044,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098992136194469e-10,0.0,True,True,COMPUTED
13,Al,6,190.49,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,574.8289478515783,2.0176331978139443,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098992136194469e-10,0.0,True,True,COMPUTED
13,Al,7,241.76,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,574.8289478515783,1.3776842647732392,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098992136194469e-10,0.0,True,True,COMPUTED
13,Al,8,284.66,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,574.8289478515783,1.019352729050721,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098992136194469e-10,0.0,True,True,COMPUTED
13,Al,9,330.13,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,574.8289478515783,0.741219967441851,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098992136194469e-10,0.0,True,True,COMPUTED
13,Al,10,398.75,MEASURED,CALIBRATION,Datasets/nuclear/ionisation_energies.json,574.8289478515783,0.44157729868734363,4.070593930023077e-12,0.008999478913993116,3.663322424067105e-14,13.0,6.098992136194469e-10,0.0,True,True,COMPUTED
