kind,formula,families,pred,obs,rel,origin
path_Δr/a0,H I 2→1 + H I 3→1,H I,11.005990787236332,1.3163461168401311,7.361015880577097,MEASURED
path_Δr/a0,|H I 2→1 − H I 3→1|,H I,5.002723085107423,1.3163461168401311,2.80046176389868,MEASURED
lambda_nm,H I 2→1 + H I 3→1,H I,224.13920000000002,670.776,0.6658508950827101,MEASURED
lambda_nm,|H I 2→1 − H I 3→1|,H I,18.994800000000012,670.776,0.971682349994633,MEASURED
energy,H I 2→1 + He II 3→1,H I+He II,58.56805335826937,1.8483696261225844,30.686331851887463,COMPUTED;MEASURED
energy,|H I 2→1 − He II 3→1|,H I+He II,38.17037990524342,1.8483696261225844,19.650837021876033,COMPUTED;MEASURED
path_Δr/a0,H I 2→1 + He II 3→1,H I+He II,5.001905972026803,1.3163461168401311,2.799841020562132,COMPUTED;MEASURED
path_Δr/a0,|H I 2→1 − He II 3→1|,H I+He II,1.0013617301021056,1.3163461168401311,0.2392869038837147,COMPUTED;MEASURED
lambda_nm,H I 2→1 + He II 3→1,H I+He II,147.1998729441939,670.776,0.7805528627377935,COMPUTED;MEASURED
lambda_nm,|H I 2→1 − He II 3→1|,H I+He II,95.9341270558061,670.776,0.8569803823395498,COMPUTED;MEASURED
energy,H I 2→1 + H I 3→2,H I,12.087511345206474,1.8483696261225844,5.539553114472585,MEASURED
energy,|H I 2→1 − H I 3→2|,H I,8.31016210781947,1.8483696261225844,3.4959417155388475,MEASURED
path_Δr/a0,H I 2→1 + H I 3→2,H I,8.004356936171877,1.3163461168401311,5.080738822237889,MEASURED
path_Δr/a0,|H I 2→1 − H I 3→2|,H I,2.001089234042969,1.3163461168401311,0.5201847055594718,MEASURED
lambda_nm,H I 2→1 + H I 3→2,H I,778.0284,670.776,0.15989301942824444,MEASURED
lambda_nm,|H I 2→1 − H I 3→2|,H I,534.8944,670.776,0.20257373549441235,MEASURED
energy,H I 2→1 + He II 3→2,H I+He II,17.75652682522491,1.8483696261225844,8.60658873326849,COMPUTED;MEASURED
energy,|H I 2→1 − He II 3→2|,H I+He II,2.641146627801036,1.8483696261225844,0.4289060967429436,COMPUTED;MEASURED
path_Δr/a0,H I 2→1 + He II 3→2,H I+He II,4.2518039266659216,1.3163461168401311,2.230004534728535,COMPUTED;MEASURED
path_Δr/a0,|H I 2→1 − He II 3→2|,H I+He II,1.751463775462986,1.3163461168401311,0.33054958194988127,COMPUTED;MEASURED
lambda_nm,H I 2→1 + He II 3→2,H I+He II,285.61738684284103,670.776,0.5741985598130508,COMPUTED;MEASURED
lambda_nm,|H I 2→1 − He II 3→2|,H I+He II,42.483386842841014,670.776,0.9366653147357076,COMPUTED;MEASURED
energy,H I 2→1 + H I 4→1,H I,22.94723103678188,1.8483696261225844,11.41484966668675,COMPUTED;MEASURED
energy,|H I 2→1 − H I 4→1|,H I,2.5495575837559326,1.8483696261225844,0.37935483667531616,COMPUTED;MEASURED
path_Δr/a0,H I 2→1 + H I 4→1,H I,18.009803106386723,1.3163461168401311,12.68166235003525,COMPUTED;MEASURED
path_Δr/a0,|H I 2→1 − H I 4→1|,H I,12.006535404257816,1.3163461168401311,8.121108233356832,COMPUTED;MEASURED
lambda_nm,H I 2→1 + H I 4→1,H I,218.8217564937886,670.776,0.6737781964563601,COMPUTED;MEASURED
lambda_nm,|H I 2→1 − H I 4→1|,H I,24.312243506211402,670.776,0.9637550486209832,COMPUTED;MEASURED
energy,H I 2→1 + He II 4→1,H I+He II,61.213244892818544,1.8483696261225844,32.11742631327943,COMPUTED;MEASURED
energy,|H I 2→1 − He II 4→1|,H I+He II,40.8155714397926,1.8483696261225844,21.081931483268,COMPUTED;MEASURED
path_Δr/a0,H I 2→1 + He II 4→1,H I+He II,6.7521440778688575,1.3163461168401311,4.129459487507189,COMPUTED;MEASURED
path_Δr/a0,|H I 2→1 − He II 4→1|,H I+He II,0.748876375739949,1.3163461168401311,0.43109462917122787,COMPUTED;MEASURED
lambda_nm,H I 2→1 + He II 4→1,H I+He II,145.87076101375425,670.776,0.7825343169496907,COMPUTED;MEASURED
lambda_nm,|H I 2→1 − He II 4→1|,H I+He II,97.26323898624578,670.776,0.8549989281276524,COMPUTED;MEASURED
energy,H I 2→1 + H I 4→2,H I,12.748515588566754,1.8483696261225844,5.897167865341923,COMPUTED;MEASURED
energy,|H I 2→1 − H I 4→2|,H I,7.649157864459191,1.8483696261225844,3.1383269646695093,COMPUTED;MEASURED
path_Δr/a0,H I 2→1 + H I 4→2,H I,15.00816925532227,1.3163461168401311,10.401385291696041,COMPUTED;MEASURED
