Z,A,symbol,radius_fm,unc_radius_fm,c_boundary_q1_fm,c_boundary_q2_fm,beta_q1,beta_q2,inside_q1,inside_q2
30,67,Zn,3.953,0.0027,84.538209786,169.076419572,0.04675992086899667,0.023379960434498335,1,1
30,68,Zn,3.9658,0.0014,84.538209786,169.076419572,0.046911331692959024,0.023455665846479512,1,1
30,70,Zn,3.9845,0.0019,84.538209786,169.076419572,0.047132533443591515,0.023566266721795757,1,1
31,69,Ga,3.9973,0.0017,87.3561501122,174.7123002244,0.04575865574279406,0.02287932787139703,1,1
31,71,Ga,4.0118,0.0018,87.3561501122,174.7123002244,0.04592464291120036,0.02296232145560018,1,1
32,70,Ge,4.0414,0.0012,90.1740904384,180.3481808768,0.04481775175498747,0.022408875877493736,1,1
32,72,Ge,4.0576,0.0013,90.1740904384,180.3481808768,0.04499740424630998,0.02249870212315499,1,1
32,73,Ge,4.0632,0.0014,90.1740904384,180.3481808768,0.045059506342075784,0.022529753171037892,1,1
32,74,Ge,4.0742,0.0012,90.1740904384,180.3481808768,0.04518149260161576,0.02259074630080788,1,1
32,76,Ge,4.0811,0.0012,90.1740904384,180.3481808768,0.045258011255327205,0.022629005627663602,1,1
33,75,As,4.0968,0.0020,92.9920307646,185.9840615292,0.04405538804040787,0.022027694020203936,1,1
34,74,Se,4.07,0.0200,95.8099710908,191.6199421816,0.04247992096921544,0.02123996048460772,1,1
34,76,Se,4.1395,0.0016,95.8099710908,191.6199421816,0.043205315197068134,0.021602657598534067,1,1
34,77,Se,4.1395,0.0018,95.8099710908,191.6199421816,0.043205315197068134,0.021602657598534067,1,1
34,78,Se,4.1406,0.0017,95.8099710908,191.6199421816,0.04321679625678954,0.02160839812839477,1,1
34,80,Se,4.14,0.0018,95.8099710908,191.6199421816,0.04321053386057786,0.02160526693028893,1,1
34,82,Se,4.14,0.0019,95.8099710908,191.6199421816,0.04321053386057786,0.02160526693028893,1,1
35,79,Br,4.1629,0.0021,98.627911417,197.255822834,0.04220813297362861,0.021104066486814305,1,1
35,81,Br,4.1599,0.0021,98.627911417,197.255822834,0.042177715620600464,0.021088857810300232,1,1
