Z,N,A,symbol,radius_fm,unc_radius_fm,source
41,62,103,Nb,4.5097,0.0227,IAEA LiveChart
42,48,90,Mo,4.3265,0.0016,IAEA LiveChart
42,49,91,Mo,4.3182,0.0012,IAEA LiveChart
42,50,92,Mo,4.3151,0.0012,IAEA LiveChart
42,52,94,Mo,4.3529,0.0013,IAEA LiveChart
42,53,95,Mo,4.3628,0.0018,IAEA LiveChart
42,54,96,Mo,4.3847,0.0015,IAEA LiveChart
42,55,97,Mo,4.3880,0.0015,IAEA LiveChart
42,56,98,Mo,4.4091,0.0018,IAEA LiveChart
42,58,100,Mo,4.4468,0.0025,IAEA LiveChart
42,60,102,Mo,4.4914,0.0038,IAEA LiveChart
42,61,103,Mo,4.5145,0.0046,IAEA LiveChart
42,62,104,Mo,4.5249,0.0051,IAEA LiveChart
42,63,105,Mo,4.5389,0.0057,IAEA LiveChart
42,64,106,Mo,4.5490,0.0058,IAEA LiveChart
42,66,108,Mo,4.5602,0.0067,IAEA LiveChart
44,52,96,Ru,4.3908,0.0047,IAEA LiveChart
44,54,98,Ru,4.4229,0.0055,IAEA LiveChart
44,55,99,Ru,4.4338,0.0042,IAEA LiveChart
44,56,100,Ru,4.4531,0.0031,IAEA LiveChart
44,57,101,Ru,4.4606,0.0020,IAEA LiveChart
44,58,102,Ru,4.4809,0.0018,IAEA LiveChart
44,60,104,Ru,4.5098,0.0020,IAEA LiveChart
45,58,103,Rh,4.4945,0.0023,IAEA LiveChart
46,56,102,Pd,4.4827,0.0044,IAEA LiveChart
46,58,104,Pd,4.5078,0.0027,IAEA LiveChart
46,59,105,Pd,4.5150,0.0030,IAEA LiveChart
46,60,106,Pd,4.5318,0.0029,IAEA LiveChart
46,62,108,Pd,4.5563,0.0027,IAEA LiveChart
46,64,110,Pd,4.5782,0.0030,IAEA LiveChart
47,54,101,Ag,4.4799,0.0088,IAEA LiveChart
47,56,103,Ag,4.5036,0.0065,IAEA LiveChart
47,57,104,Ag,4.5119,0.0058,IAEA LiveChart
47,58,105,Ag,4.5269,0.0045,IAEA LiveChart
47,60,107,Ag,4.5454,0.0031,IAEA LiveChart
47,62,109,Ag,4.5638,0.0025,IAEA LiveChart
48,54,102,Cd,4.4810,0.0122,IAEA LiveChart
48,55,103,Cd,4.4951,0.0105,IAEA LiveChart
48,56,104,Cd,4.5122,0.0083,IAEA LiveChart
48,57,105,Cd,4.5216,0.0070,IAEA LiveChart
48,58,106,Cd,4.5383,0.0036,IAEA LiveChart
48,59,107,Cd,4.5466,0.0039,IAEA LiveChart
48,60,108,Cd,4.5577,0.0031,IAEA LiveChart
48,61,109,Cd,4.5601,0.0035,IAEA LiveChart
48,62,110,Cd,4.5765,0.0026,IAEA LiveChart
48,63,111,Cd,4.5845,0.0058,IAEA LiveChart
48,64,112,Cd,4.5944,0.0024,IAEA LiveChart
48,65,113,Cd,4.6012,0.0028,IAEA LiveChart
48,66,114,Cd,4.6087,0.0023,IAEA LiveChart
48,67,115,Cd,4.6114,0.0046,IAEA LiveChart
48,68,116,Cd,4.6203,0.0059,IAEA LiveChart
48,69,117,Cd,4.6136,0.0025,IAEA LiveChart
48,70,118,Cd,4.6246,0.0060,IAEA LiveChart
48,72,120,Cd,4.6300,0.0069,IAEA LiveChart
49,55,104,In,4.5184,0.0117,IAEA LiveChart
49,56,105,In,4.5311,0.0103,IAEA LiveChart
49,57,106,In,4.5375,0.0095,IAEA LiveChart
49,58,107,In,4.5494,0.0082,IAEA LiveChart
49,59,108,In,4.5571,0.0071,IAEA LiveChart
49,60,109,In,4.5685,0.0061,IAEA LiveChart
49,61,110,In,4.5742,0.0056,IAEA LiveChart
49,62,111,In,4.5856,0.0044,IAEA LiveChart
49,63,112,In,4.5907,0.0041,IAEA LiveChart
49,64,113,In,4.6010,0.0031,IAEA LiveChart
49,65,114,In,4.6056,0.0029,IAEA LiveChart
49,66,115,In,4.6156,0.0026,IAEA LiveChart
49,67,116,In,4.6211,0.0027,IAEA LiveChart
49,68,117,In,4.6292,0.0032,IAEA LiveChart
49,69,118,In,4.6335,0.0033,IAEA LiveChart
49,70,119,In,4.6407,0.0040,IAEA LiveChart
49,71,120,In,4.6443,0.0042,IAEA LiveChart
49,72,121,In,4.6505,0.0047,IAEA LiveChart
49,73,122,In,4.6534,0.0051,IAEA LiveChart
49,74,123,In,4.6594,0.0056,IAEA LiveChart
49,75,124,In,4.6625,0.0060,IAEA LiveChart
49,76,125,In,4.6670,0.0064,IAEA LiveChart
49,77,126,In,4.6702,0.0068,IAEA LiveChart
49,78,127,In,4.6733,0.0071,IAEA LiveChart
50,58,108,Sn,4.5605,0.0029,IAEA LiveChart
50,59,109,Sn,4.5679,0.0027,IAEA LiveChart
50,60,110,Sn,4.5785,0.0025,IAEA LiveChart
