nuclide,Z,A,start_level_keV,end_level_keV,gamma_energy_keV,relative_intensity,multipolarity,tot_conv_coeff,gamma_fraction_from_icc,radius_fm_measured,source,extraction_date
24mg,12,24,9532.7,1368.667,8162.5,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9828,6432.2,3395.2,2.1,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9828,1368.667,8457.7,30.3,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9828,0,9825.9,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9965.3,1368.667,8595.1,38.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,9965.3,0,9963.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10027.97,8358.1,1670.0,45.4,[E2],0.000166,0.9998340275514264,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10027.97,7812.4,2215.6,7.3,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10027.97,7616.41,2411.2,8.8,[E2],0.000519,0.9994812692212742,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10027.97,6010.34,4017.2,23.0,[E1],0.00169,0.9983128512813346,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10027.97,4122.853,5904.2,100.0,[E1],0.00227,0.9977351412294092,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10027.97,1368.667,8657.5,61.0,[E3],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10059.1,4238.35,5820.0,16.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10059.1,1368.667,8688.6,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10110.9,1368.667,8740.5,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10333.6,4238.35,6094.4,61.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10333.6,1368.667,8963.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10360.7,6432.2,3927.9,1.2,[E2],0.00115,0.998851320980872,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10360.7,5235.16,5124.9,3.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10360.7,1368.667,8990.2,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10360.7,0,10358.3,72.0,[E2],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10575.93,9516.18,1059.78,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10575.93,9301.07,1274.71,37.2,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10575.93,8439.29,2136.58,59.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10575.93,5235.16,5340.3,40.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10581.26,6010.34,4570.4,20.6,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10581.26,5235.16,5345.4,53.4,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10581.26,4238.35,6342.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10581.26,4122.853,6457.4,37.6,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10581.26,1368.667,9210.6,46.1,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10659.8,1368.667,9289.2,43.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10659.8,0,10657.3,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10660.17,5235.16,5424.2,12.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10660.17,4122.853,6536.3,35.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10660.17,1368.667,9289.5,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10679.7,7555.3,3124.0,0.6,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10679.7,7348.6,3331.0,2.4,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10679.7,4238.35,6440.0,14.7,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10679.7,1368.667,9309.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10712.2,0,10709.6,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10731.1,5235.16,5495.2,10.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10731.1,4238.35,6491.8,27.0,(M1),,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10731.1,1368.667,9360.5,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10820.8,1368.667,9450.1,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10917.2,6432.2,4485.0,0.85,[E2],0.00134,0.998661793197116,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10917.2,6010.34,4906.3,1.7,[E2],0.00146,0.9985421284924011,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10917.2,5235.16,5681.3,2.77,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10917.2,4238.35,6677.8,1.06,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10917.2,4122.853,6793.3,34.0,[E2],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10917.2,1368.667,9546.5,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,10917.2,0,10914.5,72.0,[E2],,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,11012,8439.29,2573.0,100.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,11012,6010.34,5001.0,47.0,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,11018,,1048.0,2.5,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,11018,7747.7,3270.0,0.62,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
24mg,12,24,11018,7555.3,3462.0,0.37,,,,3.057,IAEA LiveChart ENSDF adopted gammas,2026-08-13
