z_daughter,a_daughter,element_daughter,z_parent,a_parent,element_parent,daughter_level_idx,independent_thermal_fy,unc_it,independent_fast_fy,unc_if,independent_14mev_fy,unc_i14,Extraction_date
32,86,Ge,94,241,Pu,0,0.00000083426,0.0000003297,0.0000016457,0.00000060084,,,2026-07-25
32,87,Ge,94,241,Pu,0,0.00000004328,0.000000015463,0.000000091034,0.000000032998,,,2026-07-25
32,88,Ge,94,241,Pu,0,0.0000000015258,0.00000000053095,0.0000000036674,0.0000000013201,,,2026-07-25
32,89,Ge,94,241,Pu,0,0.000000000021468,0.0000000000078844,0.000000000070752,0.000000000025046,,,2026-07-25
33,75,As,94,241,Pu,0,0.0000000000028607,0.0000000000013582,0.0000000000077587,0.0000000000036566,,,2026-07-25
33,75,As,94,241,Pu,4,0.0000000000093593,0.0000000000044437,0.000000000029382,0.000000000013847,,,2026-07-25
33,76,As,94,241,Pu,0,0.00000000032285,0.00000000015177,0.0000000014839,0.00000000069781,,,2026-07-25
33,77,As,94,241,Pu,0,0.000000006074,0.0000000023323,0.000000047295,0.000000022173,,,2026-07-25
33,78,As,94,241,Pu,0,0.00000029913,0.00000013833,0.00000077121,0.00000035767,,,2026-07-25
33,79,As,94,241,Pu,0,0.0000053539,0.0000024416,0.0000094487,0.0000043118,,,2026-07-25
33,80,As,94,241,Pu,0,0.000038946,0.000017136,0.000057397,0.000025457,,,2026-07-25
33,81,As,94,241,Pu,0,0.00022976,0.00008402,0.00028739,0.0001087,,,2026-07-25
33,82,As,94,241,Pu,0,0.00015735,0.000049484,0.00015543,0.000050211,,,2026-07-25
33,82,As,94,241,Pu,1,0.00047484,0.00014933,0.00054157,0.00017495,,,2026-07-25
33,83,As,94,241,Pu,0,0.0011333,0.0002019,0.0012556,0.00017575,,,2026-07-25
33,84,As,94,241,Pu,0,0.0005253,0.0001513,0.00067385,0.0001561,,,2026-07-25
33,84,As,94,241,Pu,-2,0.0005253,0.0001513,0.00067385,0.0001561,,,2026-07-25
33,85,As,94,241,Pu,0,0.00054153,0.00019526,0.00079376,0.0002396,,,2026-07-25
33,86,As,94,241,Pu,0,0.00016412,0.000062402,0.00027096,0.000094837,,,2026-07-25
33,87,As,94,241,Pu,0,0.00003864,0.000013665,0.000068422,0.000024599,,,2026-07-25
33,88,As,94,241,Pu,0,0.0000039705,0.00000138,0.0000080528,0.0000028961,,,2026-07-25
33,89,As,94,241,Pu,0,0.0000002726,0.00000010011,0.00000075929,0.00000026878,,,2026-07-25
33,90,As,94,241,Pu,0,0.0000000091643,0.0000000034503,0.000000026738,0.0000000098554,,,2026-07-25
33,91,As,94,241,Pu,0,0.00000000024936,0.000000000092924,0.00000000082844,0.00000000029987,,,2026-07-25
33,92,As,94,241,Pu,0,0.0000000000029125,0.0000000000010537,0.00000000001088,0.000000000003885,,,2026-07-25
34,76,Se,94,241,Pu,0,0,0,0,0,,,2026-07-25
34,77,Se,94,241,Pu,0,0.00000000000042151,0.00000000000016197,0.0000000000016416,0.0000000000007698,,,2026-07-25
34,77,Se,94,241,Pu,1,0.0000000000027573,0.0000000000010595,0.000000000012329,0.0000000000057817,,,2026-07-25
34,78,Se,94,241,Pu,0,0.00000000068866,0.00000000031967,0.0000000010096,0.00000000046925,,,2026-07-25
34,79,Se,94,241,Pu,0,0.000000029309,0.000000013655,0.000000030258,0.000000014018,,,2026-07-25
34,79,Se,94,241,Pu,1,0.0000000044804,0.0000000020875,0.0000000040287,0.0000000018664,,,2026-07-25
34,80,Se,94,241,Pu,0,0.0000010759,0.00000050325,0.00000092753,0.00000043315,,,2026-07-25
34,81,Se,94,241,Pu,0,0.0000021962,0.00000096907,0.0000014544,0.0000006565,,,2026-07-25
34,81,Se,94,241,Pu,1,0.000014367,0.0000063391,0.000010924,0.0000049307,,,2026-07-25
34,82,Se,94,241,Pu,0,0.00017662,0.000070301,0.00011931,0.000050929,,,2026-07-25
34,83,Se,94,241,Pu,0,0.00058263,0.00015296,0.00041748,0.00012292,,,2026-07-25
34,83,Se,94,241,Pu,1,0.00013472,0.000035368,0.000084058,0.00002475,,,2026-07-25
34,84,Se,94,241,Pu,0,0.0023863,0.00034224,0.0019221,0.00032416,,,2026-07-25
34,85,Se,94,241,Pu,0,0.0031183,0.00052635,0.0026252,0.0003581,,,2026-07-25
34,86,Se,94,241,Pu,0,0.004421,0.00061701,0.0035062,0.00053753,,,2026-07-25
34,87,Se,94,241,Pu,0,0.002704,0.00057012,0.0022834,0.0005868,,,2026-07-25
34,88,Se,94,241,Pu,0,0.0010867,0.00029668,0.0011424,0.00036087,,,2026-07-25
34,89,Se,94,241,Pu,0,0.00019103,0.000066517,0.00030507,0.00010628,,,2026-07-25
34,90,Se,94,241,Pu,0,0.000027936,0.000010428,0.000048028,0.000017633,,,2026-07-25
34,91,Se,94,241,Pu,0,0.0000022177,0.00000082584,0.0000043585,0.0000015771,,,2026-07-25
34,92,Se,94,241,Pu,0,0.00000012589,0.000000045543,0.0000002787,0.000000099514,,,2026-07-25
34,93,Se,94,241,Pu,0,0.0000000029923,0.0000000010997,0.0000000074407,0.0000000027253,,,2026-07-25
34,94,Se,94,241,Pu,0,0.000000000057339,0.000000000021925,0.00000000016928,0.00000000006005,,,2026-07-25
35,79,Br,94,241,Pu,0,0.0000000000014423,0.00000000000067208,0.0000000000010613,0.00000000000049167,,,2026-07-25
35,79,Br,94,241,Pu,1,0.0000000000047186,0.0000000000021988,0.000000000004019,0.0000000000018619,,,2026-07-25
35,80,Br,94,241,Pu,0,0.00000000014485,0.000000000067863,0.000000000091765,0.000000000042887,,,2026-07-25
35,80,Br,94,241,Pu,2,0.00000000043712,0.00000000020479,0.00000000031973,0.00000000014943,,,2026-07-25
35,81,Br,94,241,Pu,0,0.000000041465,0.000000018506,0.000000025708,0.000000011675,,,2026-07-25
35,82,Br,94,241,Pu,0,0.00000087165,0.00000036917,0.00000051647,0.00000022835,,,2026-07-25
35,82,Br,94,241,Pu,1,0.00000037214,0.00000015761,0.00000018947,0.000000083773,,,2026-07-25
35,83,Br,94,241,Pu,0,0.000021639,0.0000078102,0.00001294,0.000004703,,,2026-07-25
35,84,Br,94,241,Pu,0,0.000086355,0.000032268,0.00006382,0.000022571,,,2026-07-25
35,84,Br,94,241,Pu,1,0.000086355,0.000032268,0.00006382,0.000022571,,,2026-07-25
35,85,Br,94,241,Pu,0,0.0006918,0.00028492,0.00065983,0.00021471,,,2026-07-25
35,86,Br,94,241,Pu,0,0.0015308,0.00058083,0.0019698,0.00051211,,,2026-07-25
35,87,Br,94,241,Pu,0,0.0038858,0.00073051,0.0046356,0.00066289,,,2026-07-25
35,88,Br,94,241,Pu,0,0.0052947,0.00093312,0.005627,0.00087139,,,2026-07-25
35,89,Br,94,241,Pu,0,0.0047825,0.0010372,0.0062855,0.0014039,,,2026-07-25
35,90,Br,94,241,Pu,0,0.0017528,0.00054758,0.0025166,0.00076167,,,2026-07-25
35,91,Br,94,241,Pu,0,0.00058237,0.0002027,0.0009724,0.0003289,,,2026-07-25
35,92,Br,94,241,Pu,0,0.000092842,0.000033202,0.00017668,0.000062354,,,2026-07-25
35,93,Br,94,241,Pu,0,0.000010573,0.0000038802,0.000022642,0.0000082802,,,2026-07-25
35,94,Br,94,241,Pu,0,0.00000058477,0.00000022358,0.0000014851,0.00000052677,,,2026-07-25
35,95,Br,94,241,Pu,0,0.00000002541,0.0000000095355,0.000000070194,0.000000025468,,,2026-07-25
35,96,Br,94,241,Pu,0,0.00000000050633,0.00000000019465,0.0000000016161,0.00000000060272,,,2026-07-25
35,97,Br,94,241,Pu,0,0.0000000000092357,0.000000000003376,0.000000000031437,0.000000000011199,,,2026-07-25
36,80,Kr,94,241,Pu,0,0,0,0,0,,,2026-07-25
36,81,Kr,94,241,Pu,0,0.0000000000048533,0.0000000000021661,0.00000000000174,0.0000000000007902,,,2026-07-25
36,82,Kr,94,241,Pu,0,0.00000000080029,0.00000000033902,0.00000000026029,0.00000000011511,,,2026-07-25
36,83,Kr,94,241,Pu,0,0.000000033368,0.000000012075,0.000000011793,0.0000000043033,,,2026-07-25
36,83,Kr,94,241,Pu,2,0.0000000077154,0.000000002792,0.0000000023744,0.00000000086646,,,2026-07-25
36,84,Kr,94,241,Pu,0,0.0000015348,0.00000057185,0.0000006437,0.00000023288,,,2026-07-25
36,85,Kr,94,241,Pu,0,0.000015234,0.0000061689,0.000007775,0.0000028404,,,2026-07-25
36,85,Kr,94,241,Pu,1,0.0000035224,0.0000014264,0.0000015655,0.0000005719,,,2026-07-25
36,86,Kr,94,241,Pu,0,0.00020133,0.000081203,0.00011828,0.000042732,,,2026-07-25
36,87,Kr,94,241,Pu,0,0.0010115,0.00036596,0.00067828,0.00023376,,,2026-07-25
36,88,Kr,94,241,Pu,0,0.003405,0.00091821,0.0028416,0.00078217,,,2026-07-25
36,89,Kr,94,241,Pu,0,0.0066851,0.0011613,0.0071402,0.0017942,,,2026-07-25
