obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"333.8129"	"3.4e+05"	C	"0.431815"	"4.145997"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d8.(3F).4p"	"y 2G*"	"9/2"	10	10		
""	"335.5340"	"1.1e+07"	C+	"0.513624"	"4.208755"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d8.(3F).4p"	"*"	"5/2"	8	6		
""	"336.8076"	"6.0e+06"	C+	"0.431815"	"4.112972"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"	10	8		
""	"337.1290"	"2.1e+06"	C	"0.581508"	"4.259157"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"3/2"	6	4		
""	"338.6189"	"1.1e+07"	C+	"0.513624"	"4.175091"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"5/2"	8	6		
"338.914"	"338.9138"	"2.4e+07"	C+	"0.581508"	"4.239790"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d8.(3F).4p"	"y 4F*"	"3/2"	6	4		
"339.635"	"339.6346"	"2.9e+07"	C	"0.581508"	"4.232026"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d8.(3F).4p"	"y 2G*"	"7/2"	6	8		
"340.610"	"340.6091"	"1.0e+08"	C+	"0.431815"	"4.071888"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d8.(3F).4p"	"y 4F*"	"9/2"	10	10		
"341.016"	"341.0152"	"4.2e+07"	B	"0.513624"	"4.149363"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"	8	8		
""	"341.0621"	"8.0e+04"	D	"0.513624"	"4.148862"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"5/2"	8	6		
"341.332"	"341.3312"	"6.1e+07"	C+	"0.513624"	"4.145997"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d8.(3F).4p"	"y 2G*"	"9/2"	8	10		
"341.361"	"341.3608"	"1.2e+07"	C+	"0.000000"	"3.632058"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"7/2"	10	8		
""	"341.4489"	"2.3e+04"	D	"0.101171"	"3.732291"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"5/2"	8	6		
""	"341.5698"	"8.8e+06"	C	"0.629323"	"4.259157"	"3p6.3d8.(3F).4s"	"b 4F"	"3/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2D*"	"3/2"	4	4		
""	"341.6499"	"2.6e+04"	C	"0.000000"	"3.628984"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4G*"	"9/2"	10	10		
"341.814"	"341.8135"	"3.2e+07"	C+	"0.581508"	"4.208755"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d8.(3F).4p"	"*"	"5/2"	6	6		
""	"341.8774"	"3.9e+05"	C	"0.431815"	"4.058383"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 2G*"	"7/2"	10	8		
"343.256"	"343.2562"	"1.1e+07"	C	"0.101171"	"3.713173"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"5/2"	8	6		
"343.402"	"343.4021"	"1.0e+08"	C+	"0.629323"	"4.239790"	"3p6.3d8.(3F).4s"	"b 4F"	"3/2"	"3p6.3d8.(3F).4p"	"y 4F*"	"3/2"	4	4		
"344.392"	"344.3907"	"1.2e+07"	C	"0.174426"	"3.774529"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(3P*)"	"z 4D*"	"3/2"	6	4		
"344.463"	"344.4629"	"6.9e+07"	C+	"0.513624"	"4.112972"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	"3p6.3d8.(3F).4p"	"*"	"7/2"	8	8		
"345.016"	"345.0156"	"7.6e+07"	C+	"0.581508"	"4.175091"	"3p6.3d8.(3F).4s"	"b 4F"	"5/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"5/2"	6	6		
"345.043"	"345.0428"	"1.8e+07"	C+	"0.431815"	"4.025114"	"3p6.3d8.(3F).4s"	"b 4F"	"9/2"	"3p6.3d8.(3F).4p"	"y 4G*"	"9/2"	10	10		
