obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"717.759"	"3.3e+06"	E	"8.1567289"	"9.884107"	"3s2.3p2.(3P).4p"	"4D*"	"7/2"	"3s2.3p2.(3P).5d"	"4F"	"9/2"	8	10		
"717.8638"	"717.864"	"4.7e+06"	E	"8.1315198"	"9.858647"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).5d"	"4F"	"7/2"	6	8		
""	"719.981"	"2.0e+06"	E	"8.1147813"	"9.836829"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	"3s2.3p2.(3P).5d"	"4F"	"3/2"	4	4		
""	"723.748"	"1.7e+06"	E	"8.1315198"	"9.844606"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).5d"	"4F"	"5/2"	6	6		
""	"727.048"	"1.5e+05"	E	"8.1315198"	"9.836829"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).5d"	"4F"	"3/2"	6	4		
""	"728.497"	"8.1e+05"	E	"8.1567289"	"9.858647"	"3s2.3p2.(3P).4p"	"4D*"	"7/2"	"3s2.3p2.(3P).5d"	"4F"	"7/2"	8	8		
""	"734.557"	"6.5e+04"	E	"8.1567289"	"9.844606"	"3s2.3p2.(3P).4p"	"4D*"	"7/2"	"3s2.3p2.(3P).5d"	"4F"	"5/2"	8	6		
""	"746.186"	"1.8e+06"	E	"8.2276264"	"9.889199"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	"3s2.3p2.(3P).5d"	"4D"	"5/2"	4	6		
""	"747.661"	"1.3e+06"	E	"8.2255380"	"9.883833"	"3s2.3p2.(3P).4p"	"4P*"	"1/2"	"3s2.3p2.(3P).5d"	"4D"	"3/2"	2	4		
""	"748.603"	"1.6e+06"	E	"8.2276264"	"9.883833"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	"3s2.3p2.(3P).5d"	"4D"	"3/2"	4	4		
""	"750.781"	"1.8e+06"	E	"8.2504346"	"9.901838"	"3s2.3p2.(3P).4p"	"4P*"	"5/2"	"3s2.3p2.(3P).5d"	"4D"	"7/2"	6	8		
""	"756.571"	"7.9e+05"	E	"8.2504346"	"9.889199"	"3s2.3p2.(3P).4p"	"4P*"	"5/2"	"3s2.3p2.(3P).5d"	"4D"	"5/2"	6	6		
""	"759.057"	"1.6e+05"	E	"8.2504346"	"9.883833"	"3s2.3p2.(3P).4p"	"4P*"	"5/2"	"3s2.3p2.(3P).5d"	"4D"	"3/2"	6	4		
""	"783.624"	"5.8e+04"	E	"8.1147813"	"9.696970"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	"3s2.3p2.(3P).6s"	"4P"	"5/2"	4	6		
""	"792.003"	"5.3e+05"	E	"8.1315198"	"9.696970"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).6s"	"4P"	"5/2"	6	6		
""	"795.609"	"1.6e+05"	E	"8.1052879"	"9.663645"	"3s2.3p2.(3P).4p"	"4D*"	"1/2"	"3s2.3p2.(3P).6s"	"4P"	"3/2"	2	4		
