obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"208.51260"	"2.73e+06"	D+	"0.7809579"	"6.7270828"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"3D*"	"3"	5	7		
""	"208.74107"	"3.26e+04"	E	"0.7809579"	"6.7205746"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"3D*"	"2"	5	5		
""	"208.82750"	"5.46e+05"	E	"0.7809579"	"6.7181165"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"3D*"	"1"	5	3		
""	"212.36615"	"3.57e+07"	B	"0.7809579"	"6.6191858"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"1P*"	"1"	5	3		
"212.479"	"212.4794"	"2.97e+08"	B	"0.7809579"	"6.616075"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"1F*"	"3"	5	7		
""	"220.78160"	"4.68e-03"	D	"0.0000000"	"5.6156943"	"3s2.3p2"	"3P"	"0"	"3s.3p3"	"3D*"	"2"	1	5	M2	
"220.867"	"220.86665"	"2.62e+07"	B	"0.0000000"	"5.6135319"	"3s2.3p2"	"3P"	"0"	"3s.3p3"	"3D*"	"1"	1	3		
""	"221.02020"	"4.58e-03"	D	"0.0095610"	"5.6191930"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"3D*"	"3"	3	7	M2	
"221.158"	"221.15814"	"3.46e+07"	B	"0.0095610"	"5.6156943"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"3D*"	"2"	3	5		
"221.243"	"221.24348"	"1.81e+07"	B	"0.0095610"	"5.6135319"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"3D*"	"1"	3	3		
"221.736"	"221.73593"	"4.54e+07"	B	"0.0276679"	"5.6191930"	"3s2.3p2"	"3P"	"2"	"3s.3p3"	"3D*"	"3"	5	7		
"221.875"	"221.87476"	"1.09e+07"	B	"0.0276679"	"5.6156943"	"3s2.3p2"	"3P"	"2"	"3s.3p3"	"3D*"	"2"	5	5		
"221.960"	"221.96065"	"1.05e+06"	C+	"0.0276679"	"5.6135319"	"3s2.3p2"	"3P"	"2"	"3s.3p3"	"3D*"	"1"	5	3		
""	"227.89839"	"3.56e+06"	D	"1.9086586"	"7.3489867"	"3s2.3p2"	"1S"	"0"	"3s2.3p.(2P*<1/2>).6s<1/2>"	"(1/2,1/2)*"	"1"	1	3		
