API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug  8 06:03:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Cassini (spacecraft) (-82)      {source: cassini_merge}
Center body name: Sun (10)                        {source: cassini_merge}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2002-Jun-06 05:00:00.0000 TDB
Stop  time      : A.D. 2002-Jun-10 08:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452432.500000000, A.D. 2002-Jun-07 00:00:00.0000,  8.722203767744342E+06,  1.102898986037024E+09, -9.660973309753835E+06, -6.371631558592343E+00,  5.904932920832167E+00,  2.179800376317109E-02,
2452432.510416667, A.D. 2002-Jun-07 00:15:00.0000,  8.716469299005073E+06,  1.102904300432321E+09, -9.660953691167653E+06, -6.371632306360513E+00,  5.904834405138732E+00,  2.179885440741280E-02,
2452432.520833333, A.D. 2002-Jun-07 00:30:00.0000,  8.710734829593055E+06,  1.102909614738954E+09, -9.660934071815908E+06, -6.371633053587352E+00,  5.904735890406403E+00,  2.179970503660700E-02,
2452432.531250000, A.D. 2002-Jun-07 00:45:00.0000,  8.705000359508779E+06,  1.102914928956924E+09, -9.660914451698601E+06, -6.371633800272879E+00,  5.904637376635156E+00,  2.180055565075456E-02,
2452432.541666667, A.D. 2002-Jun-07 01:00:00.0000,  8.699265888752727E+06,  1.102920243086232E+09, -9.660894830815792E+06, -6.371634546417113E+00,  5.904538863824970E+00,  2.180140624985505E-02,
2452432.552083333, A.D. 2002-Jun-07 01:15:00.0000,  8.693531417325389E+06,  1.102925557126879E+09, -9.660875209167361E+06, -6.371635292020071E+00,  5.904440351975822E+00,  2.180225683390979E-02,
2452432.562500000, A.D. 2002-Jun-07 01:30:00.0000,  8.687796945227254E+06,  1.102930871078866E+09, -9.660855586753428E+06, -6.371636037081772E+00,  5.904341841087692E+00,  2.180310740291880E-02,
2452432.572916667, A.D. 2002-Jun-07 01:45:00.0000,  8.682062472458806E+06,  1.102936184942194E+09, -9.660835963574052E+06, -6.371636781602234E+00,  5.904243331160554E+00,  2.180395795688295E-02,
2452432.583333333, A.D. 2002-Jun-07 02:00:00.0000,  8.676327999020532E+06,  1.102941498716862E+09, -9.660816339629114E+06, -6.371637525581475E+00,  5.904144822194390E+00,  2.180480849580313E-02,
2452432.593750000, A.D. 2002-Jun-07 02:15:00.0000,  8.670593524912920E+06,  1.102946812402874E+09, -9.660796714918792E+06, -6.371638269019514E+00,  5.904046314189174E+00,  2.180565901967935E-02,
