line_index,Z,symbol,split,transition,level,seat_index,n,subshell,occupancy_index,direction_x,direction_y,direction_z,phase_rad,r_m,v_m_s,k,z,koppa_felt_m,n_eff,q_effective,static_screening,swept_screening_mean,swept_screening_variance,force_residual,path_length_m,period_s,angular_rate_rad_s,action_closure_residual
6,7,N,HOLDOUT,2p³→2p²3s,upper,5,2,p,1,-0.8660254037844385,0.5000000000000002,0.0,0.0,4.53313864639819e-11,5107615.06106295,58.69519421802511,0.000290265160404003,1.3158122163303558e-14,2.0,4.669411215326125,2.330588789703923,2.368069049165411,0.08255519678193646,1.1254170674974614e-09,2.848255013845707e-10,5.576487225043451e-17,1.1267281809527733e+17,6.098992422209903e-10
6,7,N,HOLDOUT,2p³→2p²3s,upper,6,3,s,0,0.0,0.0,1.0,0.0,1.2695517678695048e-10,2735634.0808872585,109.5879233609954,8.326732353331258e-05,1.05712177797479e-14,3.0,3.7513987366732886,3.248601261251042,3.902498197601994,0.45439002990557353,3.0329413920414773e-11,7.976829014581541e-10,2.915897659819469e-16,2.154803096748119e+16,6.098992422209903e-10
7,8,O,CALIBRATION,2p⁴→2p³3s,lower,0,1,s,0,0.0,0.0,1.0,0.0,6.704602160558482e-12,17266891.211261116,17.362271779675165,0.0033173164300489924,2.2241286904162627e-14,1.0,7.892745881568018,0.10725411842215389,0.8121568028353825,7.286935618105923,6.004939874555545e-10,4.212625778570556e-11,2.4397129321247865e-18,2.5753789408770545e+18,6.098990201763854e-10
7,8,O,CALIBRATION,2p⁴→2p³3s,lower,1,1,s,1,0.0,0.0,-1.0,0.0,6.704602160558482e-12,17266891.211261116,17.362271779675165,0.0033173164300489924,2.2241286904162627e-14,1.0,7.892745881568018,0.10725411842215389,0.8121568028352759,7.286886764090097,6.004939874555545e-10,4.212625778570556e-11,2.4397129321247865e-18,2.5753789408770545e+18,6.098990201763854e-10
7,8,O,CALIBRATION,2p⁴→2p³3s,lower,2,2,s,0,0.0,0.0,1.0,0.0,3.4672538946005967e-11,6677770.918445254,44.89409140584878,0.0004961598608189074,1.7203122097688465e-14,2.0,6.104856777025352,1.8951432211992456,2.7314709682566263,4.259357424931401,2.434930406043507e-10,2.1785398726815666e-10,3.2623758725595567e-17,1.9259538301605936e+17,6.098990201763854e-10
7,8,O,CALIBRATION,2p⁴→2p³3s,lower,3,2,s,1,0.0,0.0,-1.0,0.0,3.4672538946005967e-11,6677770.918445254,44.89409140584878,0.0004961598608189074,1.7203122097688465e-14,2.0,6.104856777025352,1.8951432211992456,2.166764955892137,6.104319685314626,2.434930406043507e-10,2.1785398726815666e-10,3.2623758725595567e-17,1.9259538301605936e+17,6.098990201763854e-10
7,8,O,CALIBRATION,2p⁴→2p³3s,lower,4,2,p,0,0.8660254037844387,0.49999999999999994,0.0,0.0,3.855964574662587e-11,6004600.606647414,49.92712715448779,0.00040116851950745244,1.5468915996905736e-14,2.0,5.489440586463948,2.510559429371697,1.5655250610285716,89.08146548663407,2.3979561649162426e-09,2.4227739960524947e-10,4.0348628572737284e-17,1.557224007218179e+17,6.098990201763854e-10
7,8,O,CALIBRATION,2p⁴→2p³3s,lower,5,2,p,1,-0.8660254037844385,0.5000000000000002,0.0,0.0,4.0804982928029113e-11,5674191.131281091,52.83439543431706,0.0003582337632764514,1.461772259473922e-14,2.0,5.187378334027004,2.8126215126453227,2.9719254167850875,0.0970570997193838,-1.8770486883898393e-08,2.5638526919310636e-10,4.5184461231784585e-17,1.3905632900984418e+17,6.098992422209903e-10
7,8,O,CALIBRATION,2p⁴→2p³3s,lower,6,2,p,2,-5.511259909704863e-16,-1.0,0.0,0.0,4.0804982928029113e-11,5674191.131281091,52.83439543431706,0.0003582337632764514,1.461772259473922e-14,2.0,5.187378334027004,2.8126215126453236,2.7856368504666222,0.16406968879153852,-1.8770486692862695e-08,2.5638526919310636e-10,4.5184461231784585e-17,1.3905632900984418e+17,6.098992422209903e-10
7,8,O,CALIBRATION,2p⁴→2p³3s,lower,7,2,p,3,-0.8660254037844387,-0.49999999999999994,0.0,0.0,4.2132369990813984e-11,5495424.831140052,54.55309957134045,0.00033601691305028947,1.4157188903805968e-14,2.0,5.023949149011795,2.9760511547543613,5.895745235973344,137.0782642293384,3.835378232941197e-08,2.6472548808293655e-10,4.8171978730899684e-17,1.3043236903924952e+17,6.098992422209903e-10
7,8,O,CALIBRATION,2p⁴→2p³3s,upper,0,1,s,0,0.0,0.0,1.0,0.0,6.699984112903726e-12,17278792.63149128,17.350312860032616,0.0033218910095371337,2.2256616988696514e-14,1.0,7.898186055155559,0.10181394459521928,0.5666889182673337,0.48290969856546273,5.709845293749e-10,4.2097241736533346e-11,2.4363532009643696e-18,2.5789303885383055e+18,6.098990201763854e-10
7,8,O,CALIBRATION,2p⁴→2p³3s,upper,1,1,s,1,0.0,0.0,-1.0,0.0,6.703830423587627e-12,17268878.95520413,17.360273285699005,0.003318080245040992,2.224384729461089e-14,1.0,7.893654485069822,0.10634551467187557,0.6054850704488358,0.5950640989364877,5.695038753739891e-10,4.2121408819309276e-11,2.439151315413883e-18,2.5759719241171533e+18,6.098992422209903e-10
7,8,O,CALIBRATION,2p⁴→2p³3s,upper,2,2,s,0,0.0,0.0,1.0,0.0,3.3295826885405576e-11,6953882.630372127,43.11152113649595,0.000538038442292541,1.7914434832265723e-14,2.0,6.357279700237173,1.6427202938054204,2.0267605778853555,0.21034266275587252,-2.600133142446377e-10,2.0920385027677535e-10,3.008446667808946e-17,2.0885147722281658e+17,6.098992422209903e-10
7,8,O,CALIBRATION,2p⁴→2p³3s,upper,3,2,s,1,0.0,0.0,-1.0,0.0,3.3885006204698197e-11,6832971.221654859,43.87439201410745,0.0005194907002548197,1.7602945601417575e-14,2.0,6.246741791413678,1.7532582020116285,2.1953154079409467,3.9974173021808515,-3.4560132605805487e-10,2.1290577311904882e-10,3.1158593562389646e-17,2.016517624455226e+17,6.098992422209903e-10
