line_index,Z,symbol,transition,level,seat_i,seat_j,static_distance_m,static_radial_projection_m,lane_cosine,swept_mean_inverse_distance_m-1,swept_min_distance_m,swept_max_distance_m,swept_distance_variance_m2
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,10,2.4745802359660837e-11,7.881757905442519e-12,0.0,42056570397.09614,1.5839505560608214e-11,3.092471068802469e-11,1.4903767478882395e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,11,2.4745802359660837e-11,7.881757905442519e-12,0.0,42056333814.44764,1.6005137218288022e-11,3.112145644841449e-11,1.4903422646501314e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,12,2.2609972887168103e-11,-4.866196279774602e-12,0.49999999999999983,39091325793.81229,1.78676031758657e-11,3.3278847066761625e-11,1.8702557683716162e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,13,3.337766627587677e-11,3.337766627587677e-11,-0.9999999999999999,40213158855.417175,1.7724830321935823e-11,3.324584205755594e-11,3.0495539462176505e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,14,2.2623044797387274e-11,-4.873051918145001e-12,0.4999999999999997,39070534104.3284,1.771782884507411e-11,3.3161759686415e-11,1.8703435258680766e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,15,3.021780979271484e-11,2.0629712090659637e-11,-0.49999999999999983,39091321686.59596,1.794937031926179e-11,3.3308288149259914e-11,1.8702551720882218e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,16,1.7614150464991735e-11,-1.7614150464991735e-11,0.9999999999999999,40213037280.34911,1.7614150464991735e-11,3.33629972464498e-11,3.049531759910386e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,17,3.023116684057198e-11,2.0636567729030038e-11,-0.4999999999999997,39070532941.60563,1.7690063265734108e-11,3.310313549655402e-11,1.8703431906907727e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,18,2.1329624098530512e-11,-5.551987581315695e-12,0.5463428522861037,40594581437.83166,1.7186609928696988e-11,3.245819526993852e-11,1.9378107841809532e-23
20,30,Zn,3d¹⁰4s²→3d¹⁰4s4p,lower,8,19,2.8717701396255224e-11,1.7918153250240225e-11,-0.40824829046386313,40409007875.97049,1.6717892829348468e-11,3.21525425947658e-11,1.7407595074333817e-23
