scale,class,type,id,xi,B,sigmaB
D,triton_bearing,T,Nd148,1.07018,7.44161,1.24968e-05
D,triton_bearing,T,Nd150,0.934426,7.4168,6.74289e-06
D,EC_alt,T,Pm145,1.44898,7.46452,1.73517e-05
D,EC_alt,T,Pm146,1.35294,7.45193,2.63422e-05
D,triton_bearing,T,Pm147,1.35294,7.44808,7.91166e-06
D,EC_alt,T,Sm144,1.83721,7.46544,9.08042e-06
D,triton_bearing,T,Sm146,1.71111,7.45661,1.87902e-05
D,triton_bearing,T,Sm147,1.59574,7.44466,7.73185e-06
D,triton_bearing,T,Sm148,1.4898,7.44382,7.55203e-06
D,triton_bearing,T,Sm149,1.39216,7.42929,7.0126e-06
D,triton_bearing,T,Sm150,1.30189,7.42763,6.65298e-06
D,triton_bearing,T,Sm151,1.21818,7.41176,6.65298e-06
D,triton_bearing,T,Sm152,1.14035,7.41184,6.02365e-06
D,triton_bearing,T,Sm154,1,7.39635,7.64194e-06
D,EC_alt,T,Eu150,1.43137,7.4094,3.73106e-05
D,triton_bearing,T,Eu151,1.43137,7.40756,6.9227e-06
D,EC_alt,T,Eu152,1.25455,7.39613,6.9227e-06
D,triton_bearing,T,Eu153,1.25455,7.39803,6.9227e-06
D,EC_alt,T,Eu154,1.10169,7.3876,6.9227e-06
D,triton_bearing,T,Eu155,1.10169,7.38722,7.28232e-06
D,EC_alt,T,Gd148,1.93023,7.41568,8.90061e-06
D,EC_alt,T,Gd150,1.68085,7.41053,3.63217e-05
D,EC_alt,T,Gd152,1.47059,7.40226,5.93374e-06
D,triton_bearing,T,Gd154,1.37736,7.39452,5.84384e-06
D,triton_bearing,T,Gd155,1.29091,7.38414,5.66403e-06
D,triton_bearing,T,Gd156,1.21053,7.386,5.66403e-06
D,triton_bearing,T,Gd157,1.13559,7.37538,5.57412e-06
D,triton_bearing,T,Gd158,1.06557,7.37386,5.57412e-06
D,triton_bearing,T,Gd160,0.938462,7.35696,6.29336e-06
D,EC_alt,T,Tb157,1.24561,7.37055,5.84384e-06
D,EC_alt,T,Tb158,1.16949,7.36247,7.19241e-06
D,triton_bearing,T,Tb159,1.16949,7.36216,6.20346e-06
D,EC_alt,T,Dy154,1.76596,7.36605,4.34242e-05
D,EC_alt,T,Dy156,1.54902,7.36542,5.66403e-06
D,EC_alt,T,Dy158,1.36364,7.36335,1.3306e-05
D,triton_bearing,T,Dy160,1.2807,7.35789,3.95583e-06
D,triton_bearing,T,Dy161,1.20339,7.34823,3.86592e-06
D,triton_bearing,T,Dy162,1.13115,7.34836,3.86592e-06
D,triton_bearing,T,Dy163,1.06349,7.33787,3.86592e-06
D,triton_bearing,T,Dy164,1,7.33511,3.77602e-06
D,EC_alt,T,Ho163,1.16393,7.33354,3.86592e-06
D,triton_bearing,T,Ho165,1.09524,7.32454,4.31545e-06
D,EC_alt,T,Er162,1.43636,7.32943,4.22554e-06
D,EC_alt,T,Er164,1.27119,7.32639,3.86592e-06
D,triton_bearing,T,Er166,1.19672,7.32003,1.7981e-06
D,triton_bearing,T,Er167,1.12698,7.31085,1.52839e-06
D,triton_bearing,T,Er168,1.06154,7.30892,1.43848e-06
D,triton_bearing,T,Er170,0.942029,7.29307,7.37222e-06
D,triton_bearing,T,Tm169,1.15873,7.29533,3.95583e-06
D,triton_bearing,T,Tm171,1.02985,7.28402,5.1246e-06
D,EC_alt,T,Yb168,1.33898,7.29301,5.39431e-07
D,triton_bearing,T,Yb170,1.2623,7.28826,2.69716e-07
D,triton_bearing,T,Yb171,1.19048,7.28042,2.69716e-07
D,triton_bearing,T,Yb172,1.12308,7.28001,2.69716e-07
D,triton_bearing,T,Yb173,1.0597,7.27102,2.69716e-07
D,triton_bearing,T,Yb174,1,7.2678,2.69716e-07
D,triton_bearing,T,Yb176,0.890411,7.25003,2.69716e-07
D,EC_alt,T,Lu173,1.15385,7.26347,8.18137e-06
D,EC_alt,T,Lu174,1.08955,7.25666,8.09147e-06
D,triton_bearing,T,Lu175,1.08955,7.25458,6.20346e-06
D,EC_alt,T,Lu176,0.971831,7.24548,6.20346e-06
D,EC_alt,T,Hf172,1.40678,7.25692,0.000127665
D,EC_alt,T,Hf174,1.25397,7.25403,1.16877e-05
D,triton_bearing,T,Hf176,1.18462,7.24758,7.55203e-06
D,triton_bearing,T,Hf177,1.1194,7.23902,7.19241e-06
D,triton_bearing,T,Hf178,1.05797,7.23687,7.19241e-06
D,triton_bearing,T,Hf179,1,7.22707,7.10251e-06
D,triton_bearing,T,Hf180,0.945205,7.22382,7.10251e-06
D,triton_bearing,T,Hf182,0.844156,7.20575,3.04779e-05
D,EC_alt,T,Ta179,1.08696,7.22261,7.37222e-06
D,triton_bearing,T,Ta181,1.02817,7.21346,7.82175e-06
D,EC_alt,T,W180,1.1791,7.21529,7.19241e-06
D,triton_bearing,T,W182,1.11594,7.20888,3.68611e-06
D,triton_bearing,T,W183,1.05634,7.1999,3.68611e-06
D,triton_bearing,T,W184,1,7.19698,3.59621e-06
D,triton_bearing,T,W186,0.896104,7.18217,5.84384e-06
D,triton_bearing,T,Re185,1.08451,7.18433,3.95583e-06
D,triton_bearing,T,Re187,0.973333,7.17259,3.5063e-06
D,EC_alt,T,Os184,1.23881,7.18223,4.04573e-06
D,triton_bearing,T,Os186,1.17391,7.17698,3.68611e-06
D,triton_bearing,T,Os187,1.11268,7.16884,3.5063e-06
D,triton_bearing,T,Os188,1.05479,7.16892,3.5063e-06
D,triton_bearing,T,Os189,1,7.15915,3.14668e-06
D,triton_bearing,T,Os190,0.948052,7.15834,3.05678e-06
D,triton_bearing,T,Os192,0.851852,7.14614,1.08785e-05
D,triton_bearing,T,Os194,0.764706,7.1313,1.11482e-05
D,triton_bearing,T,Ir191,1.02667,7.14577,6.20346e-06
