scale,class,type,id,xi,B,sigmaB
C,HSB,T,NGC0024@1.170000,0.367656,4.4359,0.676681
C,HSB,T,NGC0024@1.280000,0.376032,4.19414,0.587585
C,HSB,T,NGC0024@1.380000,0.383315,4.07878,0.617534
C,HSB,T,NGC0024@1.480000,0.393356,3.91683,0.667642
C,HSB,T,NGC0024@1.590000,0.396205,3.95618,0.732754
C,HSB,T,NGC0024@1.700000,0.397186,3.72322,0.68662
C,HSB,T,NGC0024@1.800000,0.391031,3.78351,0.732035
C,HSB,T,NGC0024@1.910000,0.383849,3.74006,0.660421
C,HSB,T,NGC0024@2.020000,0.370975,4.00833,0.703244
C,HSB,T,NGC0024@2.130000,0.358591,3.84741,0.735592
C,HSB,T,NGC0024@2.230000,0.346505,4.04276,0.642132
C,HSB,T,NGC0024@2.340000,0.336485,4.04485,0.662733
C,HSB,T,NGC0024@2.440000,0.326727,4.22874,0.727185
C,HSB,T,NGC0024@2.540000,0.316206,4.1974,0.749256
C,HSB,T,NGC0024@2.650000,0.305197,4.09075,0.864459
C,HSB,T,NGC0024@2.760000,0.29452,4.14726,0.868211
C,HSB,F,NGC0024@7.070000,0.0856159,5.26151,0.314679
C,HSB,F,NGC0024@8.490000,0.0598794,6.50794,0.313118
C,HSB,F,NGC0024@9.910000,0.0427729,8.25331,0.749612
C,HSB,F,NGC0024@11.270000,0.0319555,9.89312,0.509046
C,dwarf,T,NGC0055@1.230000,0.135125,1.45929,0.345754
C,dwarf,T,NGC0055@1.840000,0.140855,1.60622,0.222136
C,dwarf,T,NGC0055@2.460000,0.136355,1.63066,0.0908026
C,dwarf,T,NGC0055@3.070000,0.131962,1.82434,0.203918
C,dwarf,T,NGC0055@3.680000,0.129037,2.09319,0.324246
C,dwarf,T,NGC0055@4.300000,0.126081,2.26655,0.287704
C,dwarf,T,NGC0055@4.910000,0.119705,2.35075,0.185314
C,dwarf,T,NGC0055@5.520000,0.112959,2.46851,0.0546283
C,dwarf,T,NGC0055@6.140000,0.10608,2.48899,0.161013
C,dwarf,F,NGC0055@6.750000,0.0997293,2.72298,0.179461
C,dwarf,F,NGC0055@7.370000,0.0942313,2.87878,0.160709
C,dwarf,F,NGC0055@7.980000,0.0892889,2.93679,0.334438
C,dwarf,F,NGC0055@8.590000,0.0855385,2.92266,0.499658
C,dwarf,F,NGC0055@9.210000,0.0805242,2.88888,0.311579
C,dwarf,F,NGC0055@9.820000,0.0748363,3.01879,0.27823
C,dwarf,F,NGC0055@10.430000,0.0692134,2.97481,0.397105
