Z,k,N_e_before,n_frozen,Zeff_bare,Zeff_ion,E_bare,E_ion,E_obs,rel_bare,rel_ion,jump_flag,rule_closer,tag
26,9,18,3,26,9,1021.9287893367859,122.45004724301725,233.6,3.3746951598321315,0.4758131539254398,,ion,COMPUTED
26,10,17,3,26,10,1021.9287893367859,151.1728978308855,262.1,2.8990033931201293,0.4232243501301584,,ion,COMPUTED
26,11,16,3,26,11,1021.9287893367859,182.91920637537143,290.2,2.52146378131215,0.3696788202089199,,ion,COMPUTED
26,12,15,3,26,12,1021.9287893367859,217.6889728764751,330.8,2.089264780340949,0.3419317627676085,,ion,COMPUTED
26,13,14,3,26,13,1021.9287893367859,255.48219733419648,361.0,1.8308276712930358,0.29229308217674105,,ion,COMPUTED
26,14,13,3,26,14,1021.9287893367859,296.29887974853557,392.2,1.6056317933115398,0.24452095933570736,,ion,COMPUTED
26,15,12,3,26,15,1021.9287893367859,340.1390201194924,457.0,1.236168029183339,0.25571330389607794,,ion,COMPUTED
26,16,11,3,26,16,1021.9287893367859,387.0026184470669,489.256,1.0887404331000254,0.2089977058082744,,ion,COMPUTED
26,17,10,2,26,17,2299.3397760077683,983.0017681453329,1266.0,0.8162241516649038,0.2235373079420751,,ion,COMPUTED
26,18,9,2,26,18,2299.3397760077683,1102.0504251871553,1358.0,0.6931809838054258,0.1884753864601213,,ion,COMPUTED
26,19,8,2,26,19,2299.3397760077683,1227.9018626313673,1456.0,0.5792168791262144,0.1566608086323027,,ion,COMPUTED
26,20,7,2,26,20,2299.3397760077683,1360.5560804779693,1582.0,0.4534385436205868,0.1399771931239132,,ion,COMPUTED
26,21,6,2,26,21,2299.3397760077683,1500.0130787269613,1689.0,0.3613616198980274,0.11189278938605013,,ion,COMPUTED
26,22,5,2,26,22,2299.3397760077683,1646.272857378343,1799.0,0.2781210539231619,0.08489557677690777,,ion,COMPUTED
26,23,4,2,26,23,2299.3397760077683,1799.3354164321145,1950.0,0.1791486030809068,0.07726388900917207,,ion,COMPUTED
26,24,3,2,26,24,2299.3397760077683,1959.200755888276,2023.0,0.1365989995095246,0.03153694716348194,,ion,COMPUTED
26,25,2,1,26,25,9197.359104031073,8503.475502987309,8828.0,0.041839499776967944,0.03676081751389799,JUMP,ion,COMPUTED
26,26,1,1,26,26,9197.359104031073,9197.359104031073,9277.69,0.008658501843554538,0.008658501843554538,,bare,COMPUTED
