hostname,hd_name,hip_name,sy_pnum
"Kepler-986",,,1
"Kepler-1655",,,1
"Kepler-1251",,,1
"Kepler-695",,,1
"Kepler-1801",,,2
"Kepler-1671",,,1
"Kepler-15",,,1
"Kepler-1027",,,1
"GJ 179",,"HIP 22627",1
"Kepler-1320",,,1
"Kepler-309",,,2
"HD 17092","HD 17092",,1
"Kepler-604",,,1
"CoRoT-8",,,1
"Kepler-472",,,1
"Kepler-1780",,,1
"Kepler-1466",,,1
"Kepler-1464",,,2
"Kepler-987",,,1
"Kepler-408",,,1
"TOI-5340",,,1
"BD-10 3166",,,1
"NGC 2682 YBP 1514",,,1
"Kepler-749",,,1
"Kepler-253",,,3
"Kepler-703",,,1
"WASP-72",,,1
"Kepler-336",,,3
"K2-244",,,1
"Kepler-661",,,1
"Kepler-1306",,,1
"Kepler-1135",,,1
"Kepler-1038",,,2
"Kepler-1118",,,1
"HD 99283","HD 99283",,1
"BD-210397",,"HIP 10337",2
"Kepler-1322",,,2
"TOI-5502",,,1
"K2-401",,,1
"Kepler-348",,,2
"Kepler-1873",,,1
"Kepler-159",,,2
"CoRoT-10",,,1
"Kepler-1570",,,1
"K2-329",,,1
"Kepler-394",,,3
"WASP-110",,,1
"TIC 18942729",,,1
"Kepler-1870",,,1
"Kepler-1163",,,1
"Kepler-886",,,1
"Kepler-820",,,1
"HAT-P-21",,,1
"HD 31527","HD 31527","HIP 22905",3
"Kepler-1336",,,2
"K2-88",,,1
"Kapteyn","HD 33793","HIP 24186",1
"HD 34445","HD 34445","HIP 24681",6
"Proxima Cen",,"HIP 70890",2
"Kepler-801",,,1
"Kepler-1367",,,1
"TOI-1696",,,1
"TOI-4311",,,2
"HD 101930","HD 101930","HIP 57172",1
"Kepler-1424",,,1
"Kepler-137",,,2
"TYC 8998-760-1",,,2
"Kepler-784",,,2
"2MASS J22362452+4751425",,,1
"TOI-5007",,,1
