Cassini SCE1 full retrieval started
[2026-08-07T18:38:35.9533293+10:00] OK 18962 93e4744b93afb733861c42998f36ad87d6696082759dd7eb8263b9421da654ba c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\spk_mm_sis_000525.txt
[2026-08-07T18:38:36.3947562+10:00] OK 26581 8b601c4aec9ecf86ab2f59d5d962fb3fd065ead44169af9ed1a55ab5b8e0dd93 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\trk_2_21_950831.txt
[2026-08-07T18:38:37.0745989+10:00] OK 25915 e2f8617eb454b0b057c3277806aaab339ff937bc3410495f2d0f0bac5b23ca22 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\document\trk_2_23_000531.txt
[2026-08-07T18:38:37.5329279+10:00] OK 16189 c90ce316b64d3245d26279b1e371351e3042e7f34f76648d3b934388e976cc15 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\aareadme.txt
[2026-08-07T18:38:37.8212309+10:00] OK 1922 2f50e3c98edfd5bc8873f76b68fc7549edd05f4420dc97fe833d730e97f88407 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\errata.txt
[2026-08-07T18:38:38.0884540+10:00] OK 1688 4ebb14930ee0a2323701ffa0fd1df0efb481f8cf1227dc070f17d69b8fe0687d c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0021\voldesc.cat
[2026-08-07T18:38:38.6565850+10:00] OK 703 a5e42636d2d455905596247ca8c71680353b22137b9b62a9ffcf0ac4857d7f0d c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\spk\c32easc2002_160_2002_186.lbl
[2026-08-07T18:38:44.1051596+10:00] OK 365947 2d9a079363e2b68df395995581731888ac52e524a2ab8c0a491cc140045c9d93 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\spk\c32easc2002_160_2002_186.spk
[2026-08-07T18:38:45.2925289+10:00] OK 29875 cdf8880a1ad8fca08680ff59f497fee420ccb8dae7b6da269e9aed8674140914 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\eop\c32easc2001_244_2002_245.eop
[2026-08-07T18:38:45.5227781+10:00] OK 702 7f6f64df207d50521843acb68ae2bee56c63d73acd82827fbdaea32071169142 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\eop\c32easc2001_244_2002_245.lbl
[2026-08-07T18:38:46.0377451+10:00] OK 21600 b210e7a2ccbf396a5c1158904382feee63309cf3233acdc8cfdbfa3d8607f366 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\ion\c32easc2002_152_2002_182.ion
[2026-08-07T18:38:46.2577504+10:00] OK 702 1b37ba10d6aaef87159c18bf1225db272f7a72d173b1c0020c0ba54cbb3f2431 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\ion\c32easc2002_152_2002_182.lbl
[2026-08-07T18:38:46.7415762+10:00] OK 702 0b430935eb47a08ae8984ad1dac6ecec31db8f445fa2acb259c0028d1a3a924f c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\tro\c32easc2002_152_2002_182.lbl
[2026-08-07T18:38:47.4067053+10:00] OK 89315 864941c835eae260b2b314cddf59704ad6563fd0097ab2186107174d3ee41283 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\tro\c32easc2002_152_2002_182.tro
[2026-08-07T18:39:45.0350708+10:00] OK 27015092 bf48dd95caf28520d4fe2681b4a751ef0608bd11d5e79aa68e146bc498a9daea c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\ckf\c32easc2002_158_2002_162.ckf
[2026-08-07T18:39:45.2821738+10:00] OK 667 4de85a98976aaf66a2dc35f4f9a74f00d561e16c5eb319b477b34ec3a1d8cc58 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\ckf\c32easc2002_158_2002_162.lbl
[2026-08-07T18:41:00.8520248+10:00] OK 32954616 c5eeb1c81ecae8343cb8875c92c98d783a7070ae70a2970a73702f3711eefaf1 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\ckf\c32easc2002_162_2002_167.ckf
[2026-08-07T18:41:01.1139847+10:00] OK 697 46cb0677c27896894a7ac18b546e4fc4782a9c2df8972b59ef5c64f2b84f05ba c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\sce1_ancillary\ckf\c32easc2002_162_2002_167.lbl
[2026-08-07T18:41:01.6021349+10:00] OK 1796 f4a1b6b25a32dd4fa1ef37b968ca1a8699f8c36d886f4fe90370beb3f21c22ee c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\CATINFO.TXT
[2026-08-07T18:41:02.1584776+10:00] OK 32999 aeac42799269a120dfe704e6422b4da86cc59888628b014f8ac0ab6002b1858b c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\DATASET.CAT
[2026-08-07T18:41:03.0254297+10:00] OK 83358 cd36b2402a4fb53cb0d71c8abcc2e6a170aea0fb7672d63d7e2ec57df63ffd4f c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\INST.CAT
[2026-08-07T18:41:03.6753406+10:00] OK 40155 016dd8ebf6702291b30c05112c0d5c9783c59cc12fbf8f7165b96e77614b08f0 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\INSTHOST.CAT
[2026-08-07T18:41:04.4070035+10:00] OK 50105 784725e42f7b7b1dcf1e02efdb0529060fc4cfb6695cf79ba29fc80c1e0ec86d c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\MISSION.CAT
[2026-08-07T18:41:04.6767639+10:00] OK 5472 9bfc9b5888f64274160bf6c81c1d4c0a60336e2641a41cdce7b75649d8fcddde c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\PERSON.CAT
[2026-08-07T18:41:04.9418383+10:00] OK 834 d5f956f10acee783be7a83926841a0dbb89780aa939000fbff8bed8fdc351b11 c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\PROJREF.CAT
[2026-08-07T18:41:07.3554916+10:00] OK 135747 a15bfd64a3c6c5ef5c9e41c84bfc8a2cdf3f805e1044a7a5e5323dd04ac47bfa c:\Users\Jimmi\OneDrive\Desktop\sdt-engine\Datasets\solar_propagation_2026-08\raw\cassini_sce1\cors_0022\catalog\REF.CAT
