rank  nuclide   Z   N  n_d  n_t   yield%    cum%(x2frag)
 347     Nb-96   41  55   25   14    0.000    200.0
 348     Kr-84   36  48   22   12    0.000    200.0
 349    Ru-104   44  60   26   16    0.000    200.0
 350    Pr-145   59  86   30   27    0.000    200.0
 351    Sm-154   62  92   30   30    0.000    200.0
 352    Pd-113   46  67   23   21    0.000    200.0
 353    Xe-145   54  91   15   37    0.000    200.0
 354     Zn-80   30  50    8   20    0.000    200.0
 355    Pd-120   46  74   16   28    0.000    200.0
 356    Cs-135   55  80   28   25    0.000    200.0
 357    Tc-101   43  58   26   15    0.000    200.0
 358     Ge-86   32  54    8   22    0.000    200.0
 359    Sn-122   50  72   26   22    0.000    200.0
 360    Rh-118   45  73   15   28    0.000    200.0
 361    Nb-109   41  68   12   27    0.000    200.0
 362    In-133   49  84   12   35    0.000    200.0
 363     Zn-74   30  44   14   14    0.000    200.0
 364    Cd-126   48  78   16   30    0.000    200.0
 365     Ga-83   31  52    8   21    0.000    200.0
 366    Cd-125   48  77   17   29    0.000    200.0
 367    Ru-115   44  71   15   27    0.000    200.0
 368     Br-82   35  47   21   12    0.000    200.0
 369    Sm-160   62  98   24   36    0.000    200.0
 370    In-120   49  71   25   22    0.000    200.0
 371    Ce-142   58  84   30   26    0.000    200.0
 372    Ag-123   47  76   16   29    0.000    200.0
 373     Zr-93   40  53   25   13    0.000    200.0
 374     Ge-76   32  44   18   12    0.000    200.0
 375    Eu-159   63  96   28   33    0.000    200.0
 376      C-14    6   8    2    2    0.000    200.0
 377    Tc-113   43  70   14   27    0.000    200.0
 378    Mo-111   42  69   13   27    0.000    200.0
 379     As-78   33  45   19   12    0.000    200.0
 380    Te-126   52  74   28   22    0.000    200.0
 381     Ga-75   31  44   16   13    0.000    200.0
 382    Pd-112   46  66   24   20    0.000    200.0
 383     Rb-99   37  62   10   25    0.000    200.0
 384    Pm-159   61  98   22   37    0.000    200.0
 385     Ne-21   10  11    7    1    0.000    200.0
 386     Mo-98   42  56   26   14    0.000    200.0
 387     Sr-88   38  50   24   12    0.000    200.0
 388    Eu-160   63  97   27   34    0.000    200.0
 389    In-119   49  70   26   21    0.000    200.0
 390      Y-91   39  52   24   13    0.000    200.0
 391     Cu-75   29  46   10   17    0.000    200.0
 392     I-143   53  90   14   37    0.000    200.0
 393    Ce-154   58  96   18   38    0.000    200.0
 394    Eu-158   63  95   29   32    0.000    200.0
 395     Br-94   35  59    9   24    0.000    200.0
 396     As-89   33  56    8   23    0.000    200.0
 397    Ag-115   47  68   24   21    0.000    200.0
 398    Nd-147   60  87   31   27    0.000    200.0
 399    Sb-138   51  87   13   36    0.000    200.0
 400    Eu-157   63  94   30   31    0.000    200.0
 401      Li-8    3   5   -1    2    0.000    200.0
 402      Be-8    4   4    2    0    0.000    200.0
 403     Cu-74   29  45   11   16    0.000    200.0
 404     Y-104   39  65   11   26    0.000    200.0
 405    Pm-150   61  89   31   28    0.000    200.0
 406    Ba-150   56  94   16   38    0.000    200.0
 407    Ru-116   44  72   14   28    0.000    200.0
 408     Cu-76   29  47    9   18    0.000    200.0
 409    Zr-108   40  68   10   28    0.000    200.0
 410    Ba-137   56  81   29   25    0.000    200.0
 411    La-152   57  95   17   38    0.000    200.0
 412    Cd-131   48  83   11   35    0.000    200.0
 413    Sr-102   38  64   10   26    0.000    200.0
 414     Cu-73   29  44   12   15    0.000    200.0
 415    Eu-161   63  98   26   35    0.000    200.0
 416    Pr-156   59  97   19   38    0.000    200.0
 417     Rb-86   37  49   23   12    0.000    200.0
 418      Li-9    3   6   -2    3    0.000    200.0
 419      Be-9    4   5    1    1    0.000    200.0
 420       B-9    5   4    4   -1    0.000    200.0
 421     Cu-77   29  48    8   19    0.000    200.0
 422    Pd-121   46  75   15   29    0.000    200.0
 423    Sb-124   51  73   27   22    0.000    200.0
 424     Zn-81   30  51    7   21    0.000    200.0
 425     Se-92   34  58    8   24    0.000    200.0
 426     Kr-97   36  61    9   25    0.000    200.0
 427    Nd-158   60  98   20   38    0.000    200.0
 428    Cd-117   48  69   25   21    0.000    200.0
 429    Cd-116   48  68   26   20    0.000    200.0
 430     I-130   53  77   27   24    0.000    200.0
 431    Sm-161   62  99   23   37    0.000    200.0
 432      C-15    6   9    1    3    0.000    200.0
 433    La-139   57  82   30   25    0.000    200.0
 434    Sn-136   50  86   12   36    0.000    200.0
 435    Te-141   52  89   13   37    0.000    200.0
 436    Ag-124   47  77   15   30    0.000    200.0
 437    Sm-153   62  91   31   29    0.000    200.0
 438    Xe-132   54  78   28   24    0.000    200.0
 439    Ag-114   47  67   25   20    0.000    200.0
 440     Nb-95   41  54   26   13    0.000    200.0
 441     Ga-84   31  53    7   22    0.000    200.0
 442     Cu-72   29  43   13   14    0.000    200.0
 443    Eu-156   63  93   31   30    0.000    200.0
 444    Cs-148   55  93   15   38    0.000    200.0
 445     Se-79   34  45   21   11    0.000    200.0
 446    Rh-109   45  64   24   19    0.000    200.0
 447    Xe-146   54  92   14   38    0.000    200.0
 448     Ge-87   32  55    7   23    0.000    200.0
 449    Tc-100   43  57   27   14    0.000    200.0
 450     Be-12    4   8   -2    4    0.000    200.0
 451      B-12    5   7    1    2    0.000    200.0
 452     Br-81   35  46   22   11    0.000    200.0
 453    Eu-162   63  99   25   36    0.000    200.0
 454    Rh-119   45  74   14   29    0.000    200.0
 455    Gd-162   64  98   28   34    0.000    200.0
 456    Gd-161   64  97   29   33    0.000    200.0
 457    Gd-160   64  96   30   32    0.000    200.0
 458    Tc-114   43  71   13   28    0.000    200.0
 459    Sm-152   62  90   32   28    0.000    200.0
 460    Ru-103   44  59   27   15    0.000    200.0
 461     Ni-72   28  44   10   16    0.000    200.0
 462     Kr-83   36  47   23   11    0.000    200.0
 463     As-77   33  44   20   11    0.000    200.0
 464     Cu-78   29  49    7   20    0.000    200.0
 465    Nb-110   41  69   11   28    0.000    200.0
 466    Sn-121   50  71   27   21    0.000    200.0
 467     Ga-74   31  43   17   12    0.000    200.0
 468    Pm-160   61  99   21   38    0.000    200.0
 469    Rh-110   45  65   23   20    0.000    200.0
 470     Zn-72   30  42   16   12    0.000    200.0
 471     Ni-73   28  45    9   17    0.000    200.0
 472    Cs-134   55  79   29   24    0.000    200.0
